,index,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,TotalVeh_Real,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,Traffic per Lane,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenueShareHour,RevenuePerDay,RevenueShareDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
45,301,PM-Shoulder,1,OP,PM,3,SB,3SB,3.7,70,8800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2903225806451613,0.2903225806451613,3.632,0.592,10553.3,631.6,11184.9,11184.9,12448.099999999999,1.1,1.414556818181818,12448.099999999999,0.0,1.0,1266.396,8172.475519999999,555.808,9842.712,2.4164212610208686,7.227022531563641,0.1427707308302928,0.14283788429850786,77.18374000903786,230.84080458719708,35.0,56.623841260340015,1.2654569181371105,3.9206100303105247,6.3428571428571425,-2.422247112546618,2.22,1166.790302683077,8120.113697316922,79.39043879618505,552.2095612038149,1246.180741479262,8672.323258520737,8672.323258520737,2671.357619071632,1335.678809535816,9776.742380928366,8.940758665777214,26.739983366785474,2.7228902450372066,12554.889522750327,12554.889522750327,12554.889522750327,12554.889522750327,1166.790302683077,79.39043879618505,2512.5767414792617,11184.9
46,302,PM-Peak,3,Peak,PM,3,SB,3SB,3.7,70,7200.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3333333333333333,0.3333333333333333,3.632,0.592,9516.8,593.6,10110.4,10110.4,11297.599999999999,1.1,1.569111111111111,11297.599999999999,0.0,1.0,1142.0159999999998,7369.80992,522.368,8897.152,5.149999634290977,15.449994718768334,0.2639249634179105,0.2620772926983008,70.1495993905141,210.44874117867195,17.230132257870793,30.37657881270136,1.4780950092783556,7.30826211104376,12.884404871505819,-5.576142760462059,6.799083410054075,1945.0768135329538,6429.707186467046,136.90079123222603,456.699208767774,2081.97760476518,6886.40639523482,20659.21918570446,3497.7951872296317,1748.8975936148158,7799.804812770368,19.054998646876616,57.16498045944284,5.8272775615490024,44889.36710561398,30626.114996908924,134668.10131684193,91878.34499072676,5835.230440598862,410.7023736966781,7387.94881429554,30331.199999999997
47,303,PM-Late,3,OP,NT,3,SB,3SB,3.7,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,7300.2,539.4,7839.599999999999,7839.599999999999,8918.4,1.1,1.1148,8918.4,0.0,1.0,876.024,5653.27488,474.67199999999997,6898.848,4.460604970985,13.294742329360005,0.11003160020877992,0.11028123638545999,97.03608663883396,289.2140812522735,34.28727166811309,69.11900979480757,3.09911065116478,3.211851568172745,6.474705895204206,-3.262854327031461,2.312294126642944,622.0388814664983,5802.137118533501,52.34741503755906,487.0525849624409,674.3862965040573,6289.189703495942,18867.569110487828,1655.1051265791755,827.5525632895877,7263.294873420824,16.5042383926445,49.19054661863202,5.146331026207239,12841.27594898695,12841.27594898695,38523.82784696085,38523.82784696085,1866.1166443994948,157.04224511267716,2899.182889512172,23518.8
48,304,Night,8,OP,NT,4,NB,4NB,3.3,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,2552.6,442.3,2994.9,2994.9,3879.5,1.1,0.4849375,3879.5,0.0,1.0,306.31199999999995,1976.73344,389.224,2635.512,0.7215132522279231,2.1641876412568735,0.11565472935601159,0.11565897911346887,93.1077334762858,279.2777616663412,69.52514581137449,69.99617921026503,1.271507461950284,2.8287258280943863,2.847890467388372,-0.019164639293985708,0.013523327171860574,228.61857101217777,2017.6694289878224,45.0172504864608,397.2827495135392,273.63582149863856,2414.9521785013617,19319.617428010893,669.9823224715601,334.99116123578005,3209.51767752844,2.380993732352146,7.141819216147682,0.9588551104160375,865.8444492616386,865.8444492616386,6926.755594093109,6926.755594093109,1828.9485680974221,360.1380038916864,2495.3985719891084,23959.2
49,305,AM-Early,1,OP,AM,4,NB,4NB,3.3,70,10800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.25,0.25,3.479,0.715,11173.0,886.9,12059.9,12059.9,13833.7,1.1,1.2808981481481483,13833.7,0.0,1.0,1340.76,8652.3712,780.472,10612.712,2.574982178437902,7.7248148516508515,0.2062510318953084,0.20625103159218927,-103.63383621519755,-310.8962088484667,54.15218240453738,28.00257489254809,-1.3467751409133293,7.070778339483731,3.656362333116416,3.414416006367315,0.579453633181491,1784.560488341248,8047.679511658751,160.97315512881914,725.9268448711808,1945.533643470067,8773.606356529932,8773.606356529932,3608.239953727705,1804.1199768638526,10225.460046272294,8.497441188845077,25.49188901044781,3.001078543604832,19267.70760182186,19267.70760182186,19267.70760182186,19267.70760182186,1784.560488341248,160.97315512881914,3286.293643470067,12059.9
50,306,AM-Peak,2,Peak,AM,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2903225806451613,0.2903225806451613,3.479,0.715,10264.1,827.7,11091.800000000001,11091.800000000001,12747.2,1.1,1.4485454545454546,12747.2,0.0,1.0,1231.692,7948.519039999999,728.3760000000001,9760.784000000001,3.0708946452476265,9.164680232360828,0.12602201334182095,0.1262367138961522,78.91198476927444,235.50241556822002,35.0,60.47016133345884,2.1866679549750714,3.2743421818926803,5.6571428571428575,-2.382800675250177,1.9799999999999998,1001.6883725065977,8030.719627493402,91.94779272082377,735.7522072791762,1093.6361652274215,8766.47183477258,17532.94366954516,2509.223750669069,1254.6118753345345,10237.976249330932,10.133952329317166,30.24344476679073,3.583231519122414,12931.880206393715,12931.880206393715,25863.76041278743,25863.76041278743,2003.3767450131954,183.89558544164754,3418.964330454843,22183.600000000002
51,307,AM-Shoulder,1,OP,AM,4,NB,4NB,3.3,70,9600.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2727272727272727,0.2727272727272727,3.479,0.715,9035.4,1305.2,10340.6,10340.6,12951.0,1.1,1.3490625,12951.0,0.0,1.0,1084.2479999999998,6997.01376,1148.576,9099.728000000001,2.5749857791085846,7.72489022914504,0.2401148119937839,0.24011480973427604,-221.81197521676353,-665.4301448812324,43.93418874650687,28.81517079797876,-0.7638512797374292,6.871380405417854,4.506740778632055,2.3646396267857996,1.174718545042438,1680.086643500319,6271.065356499681,275.79010770535587,1029.4098922946441,1955.876751205675,7300.475248794325,7300.475248794325,3591.7049666163866,1795.8524833081933,9359.295033383612,8.49745307105833,25.492137756178632,3.301152549112024,21306.93682587214,21306.93682587214,21306.93682587214,21306.93682587214,1680.086643500319,275.79010770535587,3040.124751205675,10340.6
52,308,MD,5,OP,MD,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2903225806451613,0.2903225806451613,3.482,0.708,9254.6,853.4,10108.0,10108.0,11814.8,1.1,1.342590909090909,11814.8,0.0,1.0,1110.552,7166.762240000001,750.992,8895.04,2.424365810563094,7.25025898352217,0.15132534588198424,0.15145748489067473,72.01490036510025,215.36629333930867,35.0,59.736460246238636,1.3431983268608156,3.3145586327651086,5.6571428571428575,-2.342584224377749,1.9799999999999998,1084.5127748219443,7059.535225178057,113.74335949301759,739.6566405069824,1198.2561343149619,7799.191865685039,38995.9593284252,2536.2948533009967,1268.1474266504983,9278.505146699004,8.000407174858209,23.92585464562316,2.8824592734942014,11397.950871045668,11397.950871045668,56989.754355228346,56989.754355228346,5422.563874109721,568.716797465088,7101.832671574809,50540.0
53,309,PM-Shoulder,1,OP,PM,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2903225806451613,0.2903225806451613,3.632,0.592,10247.9,613.4,10861.3,10861.3,12088.099999999999,1.1,1.3736477272727272,12088.099999999999,0.0,1.0,1229.7479999999998,7935.97376,539.792,9557.944,2.3947339516904833,7.1657023617668365,0.14902009027207438,0.1490726975678264,75.85496787174154,226.97891849179393,35.0,56.97505617207563,1.1512767583916363,3.4752049985172793,5.6571428571428575,-2.181937858625578,1.9799999999999998,1182.6195261120135,7835.532473887986,80.46824956553215,532.9317504344679,1263.0877756775458,8368.464224322453,8368.464224322453,2653.77227480861,1326.886137404305,9434.32772519139,7.902622040578595,23.64681779383056,2.698680743104371,11248.613168336036,11248.613168336036,11248.613168336036,11248.613168336036,1182.6195261120135,80.46824956553215,2492.835775677546,10861.3
54,310,PM-Peak,3,Peak,PM,4,NB,4NB,3.3,70,8800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2903225806451613,0.2903225806451613,3.632,0.592,9290.5,814.9,10105.4,10105.4,11735.2,1.1,1.3335454545454546,11735.2,0.0,1.0,1114.86,7194.5632000000005,717.112,8892.752,2.901766834254968,8.683520604583553,0.14971652056013307,0.14977116113374378,75.1474898801681,224.87843235851003,35.0,60.182149808722734,2.151653934693382,3.2900120821423715,5.6571428571428575,-2.367130775000486,1.9799999999999998,1077.1449692539768,7098.495030746023,107.40269690294126,707.4973030970588,1184.547666156918,7805.992333843082,23417.977001529245,2514.213059962801,1257.1065299814004,9220.986940037199,9.575830553041394,28.655617995125723,3.42599727723638,13392.248360734022,13392.248360734022,40176.74508220206,40176.74508220206,3231.4349077619304,322.20809070882376,4668.502998470754,30316.199999999997
55,311,PM-Late,3,OP,NT,4,NB,4NB,3.3,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,5008.1,370.0,5378.1,5378.1,6118.1,1.1,0.7647625,6118.1,0.0,1.0,600.972,3878.2726400000006,325.6,4732.728,1.3599803498595107,4.075092888468496,0.11189988920936984,0.11194728889539472,95.86024622705257,287.23900880410145,63.21099881072267,69.90243166088268,1.8751883219658259,2.832519488886401,3.1323662610186864,-0.2998467721322853,0.21265638271308063,433.97827873973034,3973.14972126027,36.45003726434052,333.5499627356595,470.4283160040709,4306.699683995929,12920.099051987789,1144.3003905327519,572.1501952663759,4973.799609467248,4.487935154536385,13.447806531946036,1.5703544915562009,2437.8394226743007,2437.8394226743007,7313.518268022903,7313.518268022903,1301.934836219191,109.35011179302157,2012.2569480122127,16134.300000000001
56,312,Night,8,OP,NT,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,2430.4,385.5,2815.9,2815.9,3586.9,1.1,0.4483625,3586.9,0.0,1.0,291.648,1882.10176,339.24,2477.992,0.657975198895825,1.97358305282969,0.11532275031215805,0.11533096633495991,93.3778810058691,280.085030213287,69.70203228928608,69.99744508383657,1.1654514355669328,2.8286746718091442,2.840663227411156,-0.011988555602011619,0.008464259187809143,217.04915133055323,1921.7028486694467,39.1248770194718,346.3751229805282,256.174028350025,2268.0779716499746,18144.623773199797,626.0717823889687,313.03589119448435,2960.8282176110315,2.1713181563562225,6.512824074337977,0.8589049958098324,726.0962040636682,726.0962040636682,5808.769632509346,5808.769632509346,1736.3932106444258,312.9990161557744,2341.0402268002003,22527.2
57,313,AM-Early,1,OP,AM,4,SB,4SB,3.3,70,8800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2903225806451613,0.2903225806451613,3.479,0.715,6599.6,523.8,7123.400000000001,7123.400000000001,8171.0,1.1,0.9285227272727272,8171.0,0.0,1.0,791.952,5110.73024,460.94399999999996,6268.592000000001,1.9712483391097082,5.899980524615477,0.10453404860188364,0.10461968333449255,85.13777912922453,254.8188519962441,51.50335203660409,69.56748302864901,2.187415697905166,2.8461573048209954,3.8444099688750133,-0.9982526640540179,0.7110869782125097,534.2453232992765,5273.4026767007235,48.22381531493433,475.57618468506564,582.4691386142108,5748.978861385789,5748.978861385789,1470.8687692440794,735.4343846220397,6700.13123075592,6.505119519062037,19.46993573123107,2.2965161391968016,4414.24426545826,4414.24426545826,4414.24426545826,4414.24426545826,534.2453232992765,48.22381531493433,1374.4211386142108,7123.400000000001
58,314,AM-Peak,2,Peak,AM,4,SB,4SB,3.3,70,9600.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2727272727272727,0.2727272727272727,3.479,0.715,7584.0,610.0,8194.0,8194.0,9414.0,1.1,0.980625,9414.0,0.0,1.0,910.0799999999999,5873.0496,536.8,7210.72,3.0672215860890564,9.162010054859328,0.09818027746117104,0.09833460700883669,87.60130232200834,261.67134984088125,46.14398222420399,69.16664569963963,3.440851833693662,2.8626514701873362,4.290917048250393,-1.428265578063057,1.0236419337752753,576.6176392712197,6097.3023607287805,52.78601704234353,557.2139829576565,629.4036563135633,6654.516343686437,13309.032687372874,1645.0556903982501,822.5278451991251,7768.94430960175,10.121831234093886,30.234633181035782,3.578371473374917,7432.392293668073,7432.392293668073,14864.784587336146,14864.784587336146,1153.2352785424393,105.57203408468706,2168.8873126271264,16388.0
59,315,AM-Shoulder,1,OP,AM,4,SB,4SB,3.3,70,8800.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2903225806451613,0.2903225806451613,3.479,0.715,6678.7,964.8,7643.5,7643.5,9573.099999999999,1.1,1.0878522727272726,9573.099999999999,0.0,1.0,801.444,5171.98528,849.024,6726.28,3.5501136163374873,10.61861085108444,0.1060539987210864,0.10616709912146285,83.95214032140142,251.10607843257588,36.44836402955301,69.2451728595724,2.721383858677932,2.8594050938617683,5.432342583043176,-2.5729374891814074,1.8226398081302235,548.5097202705977,5328.746279729403,90.13841516450088,874.6615848354991,638.6481354350985,6203.407864564902,6203.407864564902,1620.3689657641003,810.1844828820501,7952.7310342359,11.715374933913708,35.041415808578655,4.547757080685306,9584.574713971746,9584.574713971746,9584.574713971746,9584.574713971746,548.5097202705977,90.13841516450088,1440.0921354350985,7643.5
60,316,MD,5,OP,MD,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.482,0.708,8913.3,806.4,9719.699999999999,9719.699999999999,11332.5,1.1,1.4165625,11332.5,0.0,1.0,1069.5959999999998,6902.459519999999,709.632,8553.336,3.4691284243103926,10.365238816980899,0.1908154917792245,0.19099850376966712,64.37700858503769,192.34890920459088,25.256525113464928,53.144671821967634,1.4477287926758815,3.725679230145432,7.83955825714286,-4.113879026997428,3.507690780000002,1317.0962077949898,6526.60779220501,135.5386502270764,670.8613497729236,1452.6348580220663,7197.469141977934,35987.34570988967,2793.3081584762185,1396.6540792381093,8539.191841523781,11.448123800224295,34.205288096036966,4.112572638303829,19714.41902280812,19714.41902280812,98572.0951140406,98572.0951140406,6585.481038974949,677.6932511353821,8332.770290110331,48598.49999999999
61,317,PM-Shoulder,1,OP,PM,4,SB,4SB,3.3,70,6400.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.36,0.36,3.632,0.592,10203.0,610.7,10813.7,10813.7,12035.1,1.1,1.880484375,12035.1,0.0,1.0,1224.36,7901.2032,537.416,9516.056,5.149999872262562,15.449999569061157,0.24674618048268232,0.2467461598119961,28.91373115813111,86.74119320644148,9.022980225745622,28.369592101401775,1.6314890113960514,6.979303730990781,21.94396918160575,-14.964665450614968,13.380778427124023,1949.591710817547,7029.048289182453,132.60533422152372,478.0946657784763,2082.197045039071,7507.142954960929,7507.142954960929,3571.767713482118,1785.883856741059,8463.332286517882,16.994999578466455,50.98499857790182,5.805958397191667,39894.193080232486,27067.53384981296,39894.193080232486,27067.53384981296,1949.591710817547,132.60533422152372,3306.5570450390705,10813.7
62,318,PM-Peak,3,Peak,PM,4,SB,4SB,3.3,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.632,0.592,9200.7,573.9,9774.6,9774.6,10922.400000000001,1.1,1.3653000000000002,10922.400000000001,0.0,1.0,1104.084,7125.022080000001,505.032,8601.648000000001,3.9603646319719243,11.840234279919866,0.19559026623265954,0.19564220752635048,67.7540982188876,202.56326648813928,25.256525113464928,52.854067338357346,2.236391655029688,3.746163918331165,7.83955825714286,-4.093394338811695,3.507690780000002,1393.5849655407778,6703.031034459223,98.80557535144783,475.09442464855215,1492.3905408922255,7178.125459107775,21534.376377323326,2794.0856915951217,1397.0428457975609,8128.314308404879,13.06920328550735,39.07277312373555,4.48206122071768,22073.653039346456,22073.653039346456,66220.95911803938,66220.95911803938,4180.754896622333,296.4167260543435,5581.2556226766765,29323.800000000003
