,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,TotalVeh_Real,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
13,PM-Shoulder,1,OP,PM,1,SB,1SB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,7957.0,468.7,8425.7,8425.7,9363.1,1.2,1.1703875000000001,9363.1,0.0,1.0,795.7,5872.266,384.33399999999995,6909.0740000000005,3.460664873995063,10.344989303365145,0.12698096530951591,0.12706836215269313,62.70614434700265,187.4479084639441,30.059449663817126,69.02256694219365,3.473434646978459,3.3901955601850453,7.7845736571041835,-4.394378096919138,3.1092015599729286,1541.3660052342498,5619.933994765751,48.836691899593156,419.8633081004068,1590.202697133843,6039.797302866158,6039.797302866158,1687.8760809330292,6879.523919066971,13.496593008580746,40.34545828312406,3.672089261401753,22773.528365629427,22773.528365629427,1541.3660052342498,48.836691899593156,1590.202697133843,8425.7
14,PM-Peak,3,Peak,PM,1,SB,1SB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.399,0.592,7212.9,435.3,7648.2,7648.2,8518.8,1.2,1.0648499999999999,8518.8,0.0,1.0,721.29,5323.120199999999,356.94599999999997,6271.523999999999,2.867855781884208,8.58095181566592,0.12821364831220378,0.12827394751003876,62.42169394810894,186.7728326523619,40.03189569116522,69.42988857847918,4.911343532696964,3.370306431292931,5.845338971834958,-2.4750325405420273,1.751737280284471,1403.7866612463877,5087.823338753612,45.78687246791829,389.51312753208174,1449.573533714306,5477.336466285694,16432.00939885708,1541.1472786501427,6256.362721349857,11.18463754934841,33.46571208109709,3.0483121667531172,17233.13529375605,51699.405881268154,4211.359983739163,137.36061740375487,4348.720601142918,22944.6
15,PM-Late,3,OP,NT,1,SB,1SB,3.9,70,8000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3103448275862069,0.3103448275862069,3.402,0.708,3888.9,282.7,4171.6,4171.6,4737.0,1.2,0.592125,4737.0,0.0,1.0,388.89000000000004,2870.0082,231.81399999999996,3420.712,0.7099687284599954,2.1288330112206335,0.12224897873139048,0.12226442793318339,72.17253367752028,216.40850651184053,68.43505007766973,69.9866478654558,1.8272840802658694,3.3434948970530476,3.4193004861459713,-0.07580558909292368,0.05351034030218009,739.7455714007164,2760.2644285992837,28.34260609690297,254.35739390309703,768.0881774976193,3014.621822502381,9043.865467507143,824.7733896914252,3523.3366103085746,2.768878040993982,8.30244874376047,0.7623251019199607,2283.5783029581194,6850.734908874358,2219.236714202149,85.02781829070891,2304.264532492858,12514.800000000001
16,Night,8,OP,NT,2,NB,2NB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.402,0.708,1728.4,293.4,2021.8000000000002,2021.8000000000002,2608.6,1.2,0.28984444444444446,2608.6,0.0,1.0,172.84000000000003,1431.1152,269.928,1860.0560000000003,5.399883454637856,16.198757012105055,0.0011978441376197344,0.0006777872113807565,320568.17047996004,961651.476933255,69.95875418640522,69.99999906700526,0.0,2.6571428925585763,2.6587094376266722,-0.001566545068095948,0.0010966063386704781,174.55425295257854,1381.0057470474217,0.18295374639358486,293.2170462536064,174.73720669897213,1674.222793301028,13393.782346408225,175.1031141917593,2260.656885808241,16.739638709377356,50.216146737525676,5.411190115717615,2931.1623617865107,23449.298894292086,1396.4340236206283,1.4636299711486789,1397.897653591777,16174.400000000001
17,AM-Early,1,OP,AM,2,NB,2NB,3.1,70,7200.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.3333333333333333,0.3333333333333333,3.246,0.715,7005.885870438837,544.7047098537212,7550.590580292558,8154.900000000001,9331.5,1.2,1.2960416666666668,8640.0,691.5,0.925896158173927,756.6600000000001,5749.2878008037305,501.1283330654235,6946.543333869154,5.399999385028611,16.199993968342614,0.1297793037450512,0.1283447300197277,61.70713379445046,185.12135354039708,20.893681002387243,68.97132544633541,3.2583624398211417,2.69677288056065,8.90221306522045,-6.2054401846598,4.371549145654315,1502.798567818225,4746.427302620612,64.31718061251796,480.3875292412032,1567.1157484307428,5226.814831861815,5226.814831861815,1695.7501096557787,6187.589890344221,16.739998093588696,50.219981301862106,5.843250116778832,28386.852768074048,28386.852768074048,1502.798567818225,64.31718061251796,1567.1157484307428,7550.590580292558
18,AM-Peak,2,Peak,AM,2,NB,2NB,3.1,70,6300.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.36363636363636365,0.36363636363636365,3.246,0.715,6111.78477965037,482.73840678320937,6594.523186433579,7499.7,8597.7,1.2,1.3647142857142858,7560.0,1037.7000000000007,0.8793049303883596,695.07,4983.377597278341,444.11933424055263,6066.9613315188935,5.39999994443186,16.199999658992795,0.18352381243506774,0.1824340845114575,53.91566299759088,161.74698725246702,20.196403139145122,68.16914720251143,4.76698439313251,2.728507068563527,9.209560668725741,-6.481053600162214,4.586692468108019,1609.638455456029,3807.076324194341,81.02250415601323,401.71590262719616,1690.6609596120422,4208.792226821537,8417.584453643074,1852.7059679240688,5012.224032075929,16.739999827738767,50.219998942877666,5.917574456804081,31014.297540119907,62028.595080239815,3219.276910912058,162.04500831202645,3381.3219192240845,13189.046372867158
19,AM-Shoulder,1,OP,AM,2,NB,2NB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.246,0.715,6119.0,865.8,6984.8,6984.8,8716.4,1.2,0.9684888888888888,8716.4,0.0,1.0,611.9,5066.532,796.536,6426.0160000000005,1.8734774637491383,5.611967331630854,0.10204625562215877,0.10209972410345029,66.79394323832959,200.08003013507488,48.05376340550849,69.72570118958151,2.38195190259996,2.6675959771888578,3.870664581052948,-1.2030686038640903,0.8494652067370638,1128.9206195898473,4378.179380410153,81.32610583846588,784.4738941615341,1210.2467254283133,5162.653274571687,5162.653274571687,1372.8989371052448,6731.601062894755,5.807780137622329,17.39709872805565,2.124696340266883,7971.361043846302,7971.361043846302,1128.9206195898473,81.32610583846588,1210.2467254283133,6984.8
20,MD,5,OP,MD,2,NB,2NB,3.1,70,10350.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.25806451612903225,0.25806451612903225,3.249,0.708,6267.4,566.1,6833.5,6833.5,7965.7,1.2,0.7696328502415459,7965.7,0.0,1.0,626.74,5189.4072,520.812,6286.820000000001,1.002196437578048,3.0032307188096166,0.09103957188862602,0.0910751487963595,69.97037328793564,209.67663282931923,62.33551479752734,69.84937370484427,1.7148137480932455,2.6628728381440068,2.9838527940957675,-0.32097995595176076,0.22869695586703712,1099.1814098437535,4541.478590156246,47.43303039492959,518.6669696050704,1146.614440238683,5060.145559761317,25300.727798806583,1241.4805010285422,6097.479498971457,3.106808956491949,9.310015228309812,1.0849750216879737,3856.548884213698,19282.744421068488,5495.9070492187675,237.16515197464793,5733.072201193416,34167.5
21,PM-Shoulder,1,OP,PM,2,NB,2NB,3.1,70,10350.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.25806451612903225,0.25806451612903225,3.399,0.592,6940.1,406.9,7347.0,7347.0,8160.8,1.2,0.7884830917874396,8160.8,0.0,1.0,694.0100000000001,5746.402800000001,374.348,6759.240000000001,0.9788305900074225,2.9338672203030294,0.09566345092843384,0.09568521976370398,69.21872270982769,207.47057117214572,61.49756954742777,69.7457807446444,1.6208731914872614,2.6668279860682818,3.024509771179725,-0.35768178511144333,0.25715683982580745,1243.730722272815,5002.359277727185,35.81957064810306,371.0804293518969,1279.550292920918,5373.439707079082,5373.439707079082,1351.1894342171242,6115.6005657828755,3.0343748290230095,9.094988382939391,1.0335596405855314,4099.723776673612,4099.723776673612,1243.730722272815,35.81957064810306,1279.550292920918,7347.0
22,PM-Peak,3,Peak,PM,2,NB,2NB,3.1,70,10350.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.25806451612903225,0.25806451612903225,3.399,0.592,6291.1,377.9,6669.0,6669.0,7424.8,1.2,0.7173719806763286,7424.8,0.0,1.0,629.1100000000001,5209.0308,347.668,6135.4800000000005,1.1844865553573523,3.550008621219058,0.09416662030534752,0.094187108531473,69.58769460877605,208.5603375357726,64.86719860420689,69.86382100487141,2.338845823860313,2.662322176553022,2.867396835415938,-0.20507465886291598,0.14717778479115667,1119.6268255024609,4542.363174497539,32.74584364892016,345.1541563510798,1152.372669151381,4887.517330848619,14662.551992545858,1217.8643564492213,5577.825643550778,3.671908321607792,11.00502672577908,1.251705275299592,4471.5359421723515,13414.607826517054,3358.880476507383,98.23753094676047,3457.1180074541435,20007.0
23,PM-Late,3,OP,NT,2,NB,2NB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.402,0.708,3391.9,245.4,3637.3,3637.3,4128.1,1.2,0.4586777777777778,4128.1,0.0,1.0,339.19000000000005,2808.4932000000003,225.76800000000003,3346.3160000000003,0.5438043130016923,1.631402736507326,0.1004173026146486,0.10034624296108266,78.47837883828744,235.43366415529394,69.63747681095131,69.99550114330242,1.0721857099172911,2.6573136410467373,2.6709755797865053,-0.013661938739768065,0.00968290585055369,621.2113115555828,2431.4986884444174,22.654970580837713,222.74502941916228,643.8662821364205,2654.2437178635796,7962.731153590739,689.1762232980959,3099.7337767019044,1.6857933703052461,5.057348483172711,0.5820723679874713,1161.8079916823503,3485.423975047051,1863.6339346667485,67.96491174251314,1931.5988464092616,10911.900000000001
24,Night,8,OP,NT,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.402,0.708,1906.3,296.1,2202.4,2202.4,2794.6,1.2,0.3105111111111111,2794.6,0.0,1.0,190.63,1578.4164,272.41200000000003,2026.208,0.6285201734081365,7.526274590436477,0.059670605964057884,0.0005076668763464239,30895.073852281905,369956.0000488563,69.9501807676672,69.999978504558,0.0,2.6571436730925386,2.6590353013923025,-0.001891628299763859,0.0013247109746116576,284.8150630516068,1430.854936948393,0.13829454911928205,295.96170545088074,284.95335760072606,1726.8166423992739,13814.53313919419,285.2299466989646,2318.740053301035,1.9484125375652233,23.331451230353082,0.6318678154400479,558.1638522653805,4465.310818123044,2278.5205044128543,1.1063563929542564,2279.6268608058085,17619.2
25,AM-Early,1,OP,AM,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.246,0.715,5174.9,402.3,5577.2,5577.2,6381.799999999999,1.2,0.7090888888888888,6381.799999999999,0.0,1.0,517.49,4284.8172,370.11600000000004,5131.024,0.8498175386515441,2.547405464280399,0.10045458469501638,0.10048125038327269,67.68439842658891,202.89014824524878,65.35701193348245,69.94077015436397,1.6663893376475634,2.6593930777354253,2.845907340275941,-0.18651426254051584,0.13213513819315892,947.9195323200629,3709.490467679937,37.18971846685536,365.11028153314464,985.1092507869182,4074.6007492130816,4074.6007492130816,1059.488687720629,4804.821312279371,2.6344343698197865,7.896956939269237,0.9139046609442633,2790.9174010837746,2790.9174010837746,947.9195323200629,37.18971846685536,985.1092507869182,5577.2
26,AM-Peak,2,Peak,AM,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.246,0.715,5946.1,468.5,6414.6,6414.6,7351.6,1.2,0.8168444444444445,7351.6,0.0,1.0,594.61,4923.370800000001,431.02000000000004,5901.432000000001,1.6050302136339263,4.806680001411849,0.10048631110145438,0.10054570311103615,67.73315198145573,202.84452236243618,60.03570467675993,69.86256196482469,3.0019013427482606,2.662370156045089,3.098156355479598,-0.43578619943450914,0.30870944883571877,1089.3413698766165,4262.1486301233845,43.33720895491881,425.1627910450812,1132.6785788315353,4687.311421168466,9374.622842336932,1219.3529967413729,5537.637003258628,4.9755936622651715,14.900708004376733,1.727527953457467,6065.875112363259,12131.750224726518,2178.682739753233,86.67441790983762,2265.3571576630707,12829.2
27,AM-Shoulder,1,OP,AM,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.246,0.715,5237.7,741.0,5978.7,5978.7,7460.7,1.2,0.8289666666666666,7460.7,0.0,1.0,523.77,4336.815600000001,681.72,5500.404,1.200344586738308,3.598076640299673,0.1021206547800364,0.10214964725065286,66.71213507152738,199.97205592239683,59.346240966361314,69.89162318614737,2.037885780364952,2.661263131700531,3.134149644042808,-0.47288651234227697,0.33390475082996546,966.6484487322765,3747.281551267723,69.63745752371507,671.362542476285,1036.2859062559917,4418.6440937440075,4418.6440937440075,1175.5608213034218,5761.369178696577,3.721068218888755,11.154037584928988,1.3614699702112767,4373.703639954204,4373.703639954204,966.6484487322765,69.63745752371507,1036.2859062559917,5978.7
28,MD,5,OP,MD,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.249,0.708,6989.2,619.4,7608.599999999999,7608.599999999999,8847.4,1.2,0.9830444444444444,8847.4,0.0,1.0,698.9200000000001,5787.0576,569.848,6999.911999999999,1.9332347059589352,5.7862975525537355,0.10163579955740701,0.10171575827055779,66.97871634216584,200.47166608858583,46.64455581214544,69.59573872161779,2.316957684958459,2.6725774223619925,3.9876036283653233,-1.3150262060033309,0.9313225398557268,1287.092226260769,5003.187773739231,57.96252141896081,561.4374785810392,1345.0547476797296,5564.625252320269,27823.12626160135,1460.9797905176513,6687.5002094823485,5.9930275884727,17.93752241291658,2.0992749642901383,8753.283247951302,43766.41623975651,6435.461131303845,289.81260709480404,6725.273738398649,38043.0
29,PM-Shoulder,1,OP,PM,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.2857142857142857,0.2857142857142857,3.399,0.592,8001.6,469.1,8470.7,8470.7,9408.900000000001,1.2,1.0454333333333334,9408.900000000001,0.0,1.0,800.1600000000001,6625.3248,431.57200000000006,7793.044000000001,2.2554465095080025,6.751206540094145,0.1084615288009189,0.10851614106156816,66.32472407667122,198.52916443318273,41.30377910989161,69.12151026435052,2.2718071302971157,2.690913426061665,4.503219899204233,-1.8123064731425682,1.2922539294429638,1518.7528566106425,5682.6871433893575,46.8325280302231,422.2674719697769,1565.5853846408656,6104.954615359135,6104.954615359135,1659.2504407013118,6949.489559298689,6.991884179474808,20.92874027429185,2.3899315460414012,11599.089886201156,11599.089886201156,1518.7528566106425,46.8325280302231,1565.5853846408656,8470.7
