,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,HOV3,Corridor PCE,InScopeLights,InScopeHeavies,InScopeVeh,CaptureRateLights,CaptureRateHeavies,TollLights,TollHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
24,Night,8,OP,NT,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.402,0.708,1921.3,325.7,2247,115.278,2898.4,1661.54024,299.644,2067.24,0.139541145,0.139593289,0.531821231,1.593422255,64.75333238,194.0114361,64.9682227,69.9995688,231.8532271,1574.168773,41.82829134,283.8717087,273.6815185,1858.040482,357.3381011,2425.783899,1.648645818,4.93960899,0.694071708,588.8592571,4710.874057,1854.825817,334.6263307,2189.452148,17976
25,AM-Early,1,OP,AM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.246,0.715,5215.8,442.6,5658.4,312.948,6543.6,4510.62384,407.192,5205.728,0.118820607,0.119340054,1.047827228,3.105825312,60.5719077,179.5389155,60.53795075,69.96186928,535.9550635,4366.896937,48.5943153,394.0056847,584.5493788,4760.902621,681.7380094,5548.913991,3.248264406,9.628058466,1.218911162,2208.792665,2208.792665,535.9550635,48.5943153,584.5493788,5658.4
26,AM-Peak,2,Peak,AM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.246,0.715,6292.65,541.17,6833.82,377.559,7916.16,5441.88372,497.8764,6287.1144,0.114579483,0.108630675,1.949999921,5.849979054,62.56424284,187.692064,52.45614082,69.90259593,623.5282232,5291.562777,54.08464932,487.0853507,677.6128725,5778.648127,785.7821711,6752.818829,6.044999756,18.13493507,2.261282384,4750.049561,9500.099122,1247.056446,108.1692986,1355.225745,13667.64
27,AM-Shoulder,1,OP,AM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.246,0.715,5279,815.1,6094.1,316.74,7724.3,4565.2792,749.892,5606.572,0.115103849,0.115671146,1.386685028,4.108843124,61.70880771,182.847442,53.98844708,69.93096164,525.4812084,4436.778792,86.74086696,728.359133,612.2220754,5165.137925,785.7038093,6621.856191,4.298723587,12.73741369,1.772365915,3363.752771,3363.752771,525.4812084,86.74086696,612.2220754,6094.1
28,MD,5,OP,MD,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.249,0.708,7044.4,681.3,7725.7,422.664,9088.3,6091.99712,626.796,7107.644,0.109820353,0.106733675,1.949999921,5.770959954,63.64386922,188.3519157,41.61288273,69.81835428,669.0252763,5952.710724,66.90024042,614.3997596,735.9255167,6567.110483,869.7259976,7795.910002,6.044999754,17.88997586,2.297349128,5241.101317,26205.50658,3345.126382,334.5012021,3679.627584,38628.5
29,PM-Shoulder,1,OP,PM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.399,0.592,8064.7,516,8580.7,483.882,9612.7,6974.35256,474.72,7894.244,0.131989553,0.125439427,1.949999626,5.849989758,59.33680148,178.0101269,38.5229174,69.37575107,920.5416803,6660.27632,59.54860462,456.4513954,980.0902849,7116.727715,1099.187494,8029.630506,6.044998839,18.13496825,2.186956337,6644.585443,6644.585443,920.5416803,59.54860462,980.0902849,8580.7
30,PM-Peak,3,Peak,PM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.399,0.592,7635.6,509.145,8144.745,458.136,9163.035,6603.26688,468.4134,7493.1654,0.145446907,0.14002357,1.949999985,5.849999935,56.94608981,170.8382688,44.1244894,69.29287074,960.4247429,6217.039257,65.58891664,443.5560834,1026.01366,6660.59534,1157.191493,7547.707507,6.044999954,18.1349998,2.199311258,6995.222517,20985.66755,2881.274229,196.7667499,3078.040979,24434.235
31,PM-Late,3,OP,NT,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.279503106,0.279503106,3.402,0.708,5578.4,440.6,6019,334.704,6900.2,4824.20032,405.352,5537.48,0.120152576,0.120898725,1.33647608,3.942916446,70.21223399,207.1424818,59.06504115,69.94358353,579.6400954,4664.055905,49.00654009,391.5934599,628.6466355,5055.649364,726.6597157,5838.836284,4.143075849,12.22304098,1.539662763,3000.501828,9001.505485,1738.920286,147.0196203,1885.939907,18057
32,Night,8,OP,NT,3,NB,3NB,3.7,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.317398119,3.402,0.708,1939.6,359.3,2298.9,116.376,3017.5,1604.43712,316.184,2023.032,0.151248835,0.151312089,0.588063546,1.76154695,62.48598885,187.1770555,64.92066149,69.99937831,242.6692455,1580.554754,47.84246163,311.4575384,290.5117071,1892.012293,386.1966304,2514.92737,2.175835122,6.517723716,0.781316807,839.8322141,6718.657713,1941.353964,382.739693,2324.093657,18391.2
33,AM-Early,1,OP,AM,3,NB,3NB,3.7,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.3,0.317398119,3.246,0.715,8489.2,720.3,9209.5,509.352,10650.1,7022.26624,633.864,8104.36,0.151565472,0.134737457,3.899999917,11.69999505,57.67298181,173.0188759,19.07512961,68.52899978,1064.333096,6915.514904,85.40522367,634.8947763,1149.73832,7550.40968,1320.548767,8820.199233,14.42999969,43.28998168,4.47940161,19055.51682,19055.51682,1064.333096,85.40522367,1149.73832,9209.5
