,Unnamed: 0,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,TotalVeh_Real,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours,SegDir,RevenuePerDay
20,20,MD,5,OP,MD,2,NB,2NB,3.1,70,10350,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.258064516,0.258064516,3.249,0.708,6267.4,566.1,6833.5,6833.5,7965.7,1.1,0.76963285,7965.7,0,1,626.74,5189.4072,520.812,6286.82,1.002185531,3.003222475,0.091040822,0.091074526,69.97006257,209.677408,62.33554977,69.84936936,1.714802173,2.662873004,2.98385112,-0.320978116,0.228695784,1099.187896,4541.472104,47.43270587,518.6672941,1146.620602,5060.139398,25300.69699,1241.486014,6097.473986,3.106775147,9.309989672,1.084963214,3856.527639,19282.6382,5495.939481,237.1635294,5733.10301,34167.5,2NB,19282.6382
21,21,PM-Shoulder,1,OP,PM,2,NB,2NB,3.1,70,10350,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.258064516,0.258064516,3.399,0.592,6940.1,406.9,7347,7347,8160.8,1.1,0.788483092,8160.8,0,1,694.01,5746.4028,374.348,6759.24,0.978826468,2.933851996,0.095663824,0.09568588,69.21866348,207.4701908,61.49758836,69.74577738,1.62086739,2.666828115,3.024508846,-0.357680731,0.257156192,1243.732867,5002.357133,35.81981769,371.0801823,1279.552685,5373.437315,5373.437315,1351.19232,6115.59768,3.03436205,9.094941189,1.033555483,4099.714946,4099.714946,1243.732867,35.81981769,1279.552685,7347,2NB,4099.714946
22,22,PM-Peak,3,Peak,PM,2,NB,2NB,3.1,70,10350,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.258064516,0.258064516,3.399,0.592,6291.1,377.9,6669,6669,7424.8,1.1,0.717371981,7424.8,0,1,629.11,5209.0308,347.668,6135.48,1.184489365,3.549957868,0.094165875,0.094191082,69.58784539,208.5573131,64.86719789,69.86382111,2.338846318,2.662322172,2.867396867,-0.205074695,0.147177807,1119.622942,4542.367058,32.74722522,345.1527748,1152.370167,4887.519833,14662.5595,1217.864618,5577.825382,3.67191703,11.00486939,1.251709544,4471.541485,13414.62446,3358.868826,98.24167565,3457.110502,20007,2NB,13414.62446
23,23,PM-Late,3,OP,NT,2,NB,2NB,3.1,70,9000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.285714286,0.285714286,3.402,0.708,3391.9,245.4,3637.3,3637.3,4128.1,1.1,0.458677778,4128.1,0,1,339.19,2808.4932,225.768,3346.316,0.543798756,1.63136875,0.100418019,0.100349604,78.47821295,235.4306675,69.63747942,69.99550097,1.072177007,2.657313647,2.67097548,-0.013661832,0.009682836,621.2133232,2431.496677,22.6557295,222.7442705,643.8690527,2654.240947,7962.722842,689.1805117,3099.729488,1.685776144,5.057243124,0.582066928,1161.802133,3485.406398,1863.63997,67.96718849,1931.607158,10911.9,2NB,3485.406398
24,24,Night,8,OP,NT,2,SB,2SB,3.1,70,9000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.285714286,0.285714286,3.402,0.708,1906.3,296.1,2202.4,2202.4,2794.6,1.1,0.310511111,2794.6,0,1,190.63,1578.4164,272.412,2026.208,0.638822616,3.772682461,0.056993841,0.005677635,31368.54563,185252.6178,69.95012861,69.99997871,0,2.657143665,2.659037284,-0.001893619,0.001326099,280.5900134,1435.079987,1.546655787,294.5533442,282.1366692,1729.633331,13837.06665,285.2299808,2318.740019,1.980350109,11.69531563,0.656002242,573.7550912,4590.040729,2244.720107,12.37324629,2257.093354,17619.2,2SB,4590.040729
25,25,AM-Early,1,OP,AM,2,SB,2SB,3.1,70,9000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.285714286,0.285714286,3.246,0.715,5174.9,402.3,5577.2,5577.2,6381.8,1.1,0.709088889,6381.8,0,1,517.49,4284.8172,370.116,5131.024,0.849818314,2.547419484,0.100454632,0.100480166,67.68438431,202.8910374,65.35700754,69.94077047,1.666391225,2.659393066,2.845907532,-0.186514466,0.132135272,947.9197351,3709.490265,37.18931719,365.1106828,985.1090523,4074.600948,4074.600948,1059.487687,4804.822313,2.634436773,7.897000399,0.913905257,2790.91866,2790.91866,947.9197351,37.18931719,985.1090523,5577.2,2SB,2790.91866
26,26,AM-Peak,2,Peak,AM,2,SB,2SB,3.1,70,9000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.285714286,0.285714286,3.246,0.715,5946.1,468.5,6414.6,6414.6,7351.6,1.1,0.816844444,7351.6,0,1,594.61,4923.3708,431.02,5901.432,1.60500884,4.80647644,0.100486767,0.100553304,67.73307697,202.8384085,60.03579936,69.86255401,3.001864211,2.662370459,3.098151469,-0.43578101,0.308706028,1089.343612,4262.146388,43.34048526,425.1595147,1132.684097,4687.305903,9374.611805,1219.365068,5537.624932,4.975527403,14.90007697,1.727508272,6065.835559,12131.67112,2178.687224,86.68097052,2265.368195,12829.2,2SB,12131.67112
27,27,AM-Shoulder,1,OP,AM,2,SB,2SB,3.1,70,9000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.285714286,0.285714286,3.246,0.715,5237.7,741,5978.7,5978.7,7460.7,1.1,0.828966667,7460.7,0,1,523.77,4336.8156,681.72,5500.404,1.200334349,3.59801003,0.102121055,0.102152532,66.71205589,199.9698221,59.34630371,69.89161904,2.037870686,2.66126329,3.134146331,-0.472883041,0.333902431,966.6501823,3747.279818,69.639424,671.360576,1036.289606,4418.640394,4418.640394,1175.568454,5761.361546,3.721036483,11.15383109,1.361459919,4373.686967,4373.686967,966.6501823,69.639424,1036.289606,5978.7,2SB,4373.686967
28,28,MD,5,OP,MD,2,SB,2SB,3.1,70,9000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.285714286,0.285714286,3.249,0.708,6989.2,619.4,7608.6,7608.6,8847.4,1.1,0.983044444,8847.4,0,1,698.92,5787.0576,569.848,6999.912,1.933199338,5.786294033,0.101638255,0.101713795,66.97816295,200.4735554,46.6447006,69.59571907,2.316933699,2.672578177,3.987591251,-1.315013074,0.931313876,1287.106438,5003.173562,57.96140291,561.4385971,1345.067841,5564.612159,27823.0608,1460.990647,6687.489353,5.992917947,17.9375115,2.099236148,8753.206603,43766.03302,6435.532189,289.8070146,6725.339204,38043,2SB,43766.03302
29,29,PM-Shoulder,1,OP,PM,2,SB,2SB,3.1,70,9000,1,6,70,3600,1,6,2032,0.5,0,3.6,1.8,0.285714286,0.285714286,3.399,0.592,8001.6,469.1,8470.7,8470.7,9408.9,1.1,1.045433333,9408.9,0,1,800.16,6625.3248,431.572,7793.044,2.255455165,6.751427118,0.108462079,0.10850764,66.32461225,198.5345542,41.30369566,69.12153109,2.27182055,2.690912615,4.503228997,-1.812316382,1.292260298,1518.756501,5682.683499,46.8288592,422.2711408,1565.58536,6104.95464,6104.95464,1659.243079,6949.496921,6.991911012,20.92942407,2.389936007,11599.11136,11599.11136,1518.756501,46.8288592,1565.58536,8470.7,2SB,11599.11136
