Seg/Dir,Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2SB,Medium A,18.0,17.0,18.0,25.0,22.882067880656063,48.6,83.7,75.0,76.8,87.0,103.8,153.9,162.9,180.9,142.20000000000002,124.27351487964417,144.57275959590487,113.37820384310147,134.9334363474083,42.292253525446235,25.2,29.7,21.6,17.1
2SB,Medium B,10.0,7.0,7.0,0.0,3.979490066201054,17.1,37.800000000000004,25.8,19.8,22.2,31.2,27.900000000000002,35.1,28.8,19.8,30.834781887430506,14.457275959590486,25.714644170600334,26.200667251923942,7.048708920907705,0.9,8.1,2.7,4.5
2SB,Heavy A,121.0,108.0,104.0,97.0,122.36931953568242,146.70000000000002,153.9,96.6,105.0,150.6,189.0,253.8,230.4,222.3,171.9,159.78023341668535,144.57275959590487,187.0155939680024,222.7056716413535,151.54724179951566,136.8,109.8,103.5,93.60000000000001
2SB,Heavy B,9.0,11.0,14.0,13.0,12.933342715153426,11.700000000000001,4.5,2.4,3.5999999999999996,10.2,6.6,10.8,13.5,8.1,9.0,2.8031619897664095,2.2241963014754593,3.5065423869000454,7.860200175577182,12.922633021664128,8.1,10.8,11.700000000000001,8.1
2NB,Lights,830.0,516.0,365.0,565.0,1379.0,3533.4,5300.1,7368.2,6154.4,6294.4,6367.2,4682.0,4542.155063485745,4929.0,5190.0,4801.0,5992.730788308239,5442.005852718923,6449.799999999999,4319.935729116986,3182.4,3005.1,2124.0,1528.3234487118928
2NB,Medium A,17.0,26.0,30.0,18.0,30.0,34.2,76.5,131.6,176.39999999999998,264.59999999999997,172.2,149.0,128.94223864433215,136.0,154.0,107.0,106.60850857564135,94.4525738312467,100.8,45.82675808822829,24.3,28.8,11.700000000000001,13.818476028136462
2NB,Medium B,5.0,5.0,3.0,3.0,0.0,27.900000000000002,51.300000000000004,39.199999999999996,42.0,65.8,60.199999999999996,31.0,33.88263205252524,33.0,40.0,27.0,33.31515892988792,26.358857813371174,9.799999999999999,12.220468823527543,5.4,0.0,2.7,1.842463470418195
2NB,Heavy A,95.0,110.0,100.0,133.0,111.0,123.3,126.9,141.39999999999998,260.4,253.39999999999998,296.79999999999995,210.0,211.76645032828276,188.0,197.0,155.0,193.22792179334996,164.74286133356983,184.79999999999998,163.9579567156612,131.4,108.9,85.5,94.88686872653705
2NB,Heavy B,10.0,12.0,14.0,13.0,9.0,9.9,4.5,5.6,0.0,5.6,4.199999999999999,6.0,8.47065801313131,10.0,14.0,5.0,3.9978190715865507,4.393142968895195,5.6,6.110234411763772,7.2,5.4,13.5,14.73970776334556
3SB,Lights,1116.0,859.0,661.0,592.0,974.8703427964635,2691.9,3908.7000000000003,6018.599999999999,5658.799999999999,5849.2,6304.2,4817.0,4729.0,4727.0,4940.0,3886.0,4830.0,4988.2,5699.4,5966.799999999999,3460.5,3116.7000000000003,2543.4,1856.7
