,index,Year,SegDir,Segment,Direction,Period,Hours/Day,Peak,4Periods,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,MinToll,MinCapture,AADT Lights,AADT Medium A,AADT Medium B,AADT Heavy A,AADT Heavy B,GrowthFactor,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerHourLights,RevenuePerHourHeavies,RevenuePerDay,RevenuePerDayLights,RevenuePerDayHeavies,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
94,94,2032,6SB,6,SB,PM-Peak,2,Peak,PM,3.6,70,8000.0,1,6,70,3600,1,5,0.5,0,6478.9,158.3,33.3,326.9,14.9,1.146909048924097,3.6,1.8,0.3879310344827586,0.3879310344827586,3.399,0.592,6802.845,560.07,7362.915,8079.099999999999,1.2,1.0098874999999998,8079.099999999999,0.0,1.0,0.0,5442.276000000001,448.05600000000004,5890.332,1.7999999963138917,5.399999988941675,0.16518112403309715,0.31241054110352107,53.32391844064339,159.97175532193017,51.315912254487046,69.54103736301577,4.307998492927601,3.106079635718462,4.209220698032373,-1.1031410623139113,0.7864544886226619,898.9612669783479,5903.883733021652,139.97741740467924,420.0925825953208,1038.938684383027,6323.976315616973,12647.952631233946,1318.8935191923856,7164.161480807614,6.47999998673001,19.439999960190033,2.285032182716839,8546.429986864954,5825.268998090487,2721.160988774468,17092.85997372991,11650.537996180974,5442.321977548936,1797.9225339566958,279.9548348093585,2077.877368766054,14725.83
95,95,2032,6SB,6,SB,PM-Late,5,OP,PM,3.6,70,8000.0,1,6,70,3600,1,5,0.5,0,4883.5,67.7,11.5,315.4,21.8,1.146909048924097,3.6,1.8,0.3879310344827586,0.3879310344827586,3.399,0.592,4883.5,416.4,5299.9,6132.7,1.2,0.7665875,6132.7,0.0,1.0,0.0,3906.8,333.12,4239.92,1.0860058349854347,3.258017504956304,0.117906760002838,0.24171018054591528,60.4432618255566,181.3297854766698,63.76175651034332,69.98024180266043,2.7864548108580687,3.0865855052216804,3.387610565040831,-0.3010250598191506,0.21132739552858165,460.63812997908747,4422.861870020913,80.5184953434553,335.8815046565447,541.1566253225428,4758.743374677458,23793.71687338729,702.1936160094533,5430.506383990547,3.909621005947565,11.728863017842695,1.4091786528923445,2745.310911392837,1800.920509106645,944.390402286192,13726.554556964185,9004.602545533226,4721.95201143096,2303.190649895437,402.5924767172765,2705.7831266127137,26499.5
96,96,2032,7NB,7,NB,Night,6,OP,NT,2.9,70,8000.0,1,6,70,3600,1,5,0.5,0,966.1,39.5,7.0,236.9,48.8,1.1612103960859188,3.6,1.8,0.3879310344827586,0.3879310344827586,3.402,0.708,966.1,332.2,1298.3,1962.6999999999998,1.2,0.2453375,1962.6999999999998,0.0,1.0,0.0,772.8800000000001,265.76,1038.64,1.7999434371384897,5.399830311415469,0.3879310263163448,0.3879310263162472,-1084163.842425166,-3252491.5272754976,69.99835765847163,69.99029451055792,0.0,2.4860589774165387,2.4857726069654644,0.0002863704510742693,4.082487582496574e-05,299.8241316193766,666.2758683806235,103.09654955380586,229.10345044619413,402.92068117318246,895.3793188268176,5372.275912960906,609.1137802807941,1353.586219719206,5.21983596770162,15.65950790310486,2.7210575245101207,3179.4740187323914,1565.0327862117265,1614.4412325206647,19076.84411239435,9390.196717270359,9686.647395123988,1798.9447897162595,618.5792973228351,2417.5240870390944,7789.799999999999
97,97,2032,7NB,7,NB,AM-Early,1,OP,AM,2.9,70,8000.0,1,6,70,3600,1,5,0.5,0,6046.4,99.9,40.6,319.3,23.2,1.1612103960859188,3.6,1.8,0.3879310344827586,0.3879310344827586,3.246,0.715,6046.4,483.0,6529.4,7495.4,1.2,0.936925,7495.4,0.0,1.0,0.0,4837.12,386.40000000000003,5223.52,1.7999263282956657,5.399778984886997,0.11267336991771716,0.20825001293200265,61.24946937358664,183.74840812075993,51.93432110122928,69.96519538403514,2.877604089023764,2.4869508195456826,3.35038556989785,-0.8634347503521673,0.6052698989284951,545.0146110963881,5501.385388903612,80.46780499692584,402.53219500307415,625.4824160933139,5903.917583906686,5903.917583906686,786.4180260871656,6708.981973912834,5.21978635205743,15.659359056172292,2.26304444982099,4104.934079581732,2844.8598286728147,1260.0742509089166,4104.934079581732,2844.8598286728147,1260.0742509089166,545.0146110963881,80.46780499692584,625.4824160933139,6529.4
98,98,2032,7NB,7,NB,AM-Peak,1,Peak,AM,2.9,70,8000.0,1,6,70,3600,1,5,0.5,0,5761.9,169.5,59.2,282.2,11.6,1.1612103960859188,3.6,1.8,0.3879310344827586,0.3879310344827586,3.246,0.715,6049.995,548.625,6598.62,7329.4,1.2,0.916175,7329.4,0.0,1.0,0.0,4839.996,438.90000000000003,5278.896000000001,1.7999999904715611,5.399999971414683,0.13895958785118062,0.2468746018146528,55.88439166450638,167.65317499351914,56.18798760565911,69.88578845172275,3.7290691694549567,2.4897765891301287,3.096747319394567,-0.6069707302644383,0.427723123576197,672.5638493613628,5377.431150638637,108.35326273645111,440.27173726354886,780.917112097814,5817.7028879021855,5817.7028879021855,997.6236375707161,6698.246362429283,5.219999972367527,15.659999917102581,2.2995046597167788,5207.595360552331,3510.783275081712,1696.8120854706187,5207.595360552331,3510.783275081712,1696.8120854706187,672.5638493613628,108.35326273645111,780.917112097814,6598.62
99,99,2032,7NB,7,NB,AM-Shoulder,3,OP,AM,2.9,70,8000.0,1,6,70,3600,1,5,0.5,0,4860.8,246.2,67.4,419.2,20.9,1.1612103960859188,3.6,1.8,0.3879310344827586,0.3879310344827586,3.246,0.715,4860.8,753.6999999999999,5614.5,7121.9,1.2,0.8902374999999999,7121.9,0.0,1.0,0.0,3888.6400000000003,602.9599999999999,4491.6,1.6741252048032464,5.022375614409739,0.10036526598941076,0.18975503395352358,64.23458523289125,192.70375569867375,55.58647504088501,69.97542361984746,2.75981878571582,2.4865873044982547,3.130257852688435,-0.6436705481901801,0.45118049688190426,390.28438793706226,4470.515612062938,114.41469527261657,639.2853047273834,504.69908320967886,5109.800916790322,15329.402750370966,733.528473754912,6388.371526245088,4.854963093929414,14.564889281788243,2.4331696791368462,3561.2536684264687,1894.8162995712676,1666.4373688552012,10683.761005279406,5684.448898713803,4999.312106565603,1170.8531638111867,343.24408581784974,1514.0972496290365,16843.5
100,100,2032,7NB,7,NB,MD,4,OP,MD,2.9,70,8000.0,1,6,70,3600,1,5,0.5,0,4887.5,248.5,90.6,504.0,24.4,1.1612103960859188,3.6,1.8,0.3879310344827586,0.3879310344827586,3.249,0.708,4887.5,867.5,5755.0,7490.0,1.2,0.93625,7490.0,0.0,1.0,0.0,3910.0,694.0,4604.0,1.7999941569309745,5.399982470792923,0.10434180704327634,0.19698734765303108,62.852693522833576,188.55808056850074,52.376501553675546,69.9576000537268,2.8152542939117273,2.4872208289931272,3.322100461820354,-0.8348796328272265,0.5854703232742476,407.9764655392105,4479.52353446079,136.70921927120358,730.7907807287964,544.685684810414,5210.3143151895865,20841.257260758346,818.1041233528213,6671.895876647179,5.219983055099826,15.659949165299476,2.703545701423693,4270.489661209024,2129.630236994197,2140.8594242148274,17081.958644836097,8518.520947976787,8563.43769685931,1631.905862156842,546.8368770848143,2178.742739241656,23020.0
101,101,2032,7NB,7,NB,PM-Shoulder,2,OP,PM,2.9,70,8000.0,1,6,70,3600,1,5,0.5,0,5578.5,220.6,62.7,384.4,10.5,1.1612103960859188,3.6,1.8,0.3879310344827586,0.3879310344827586,3.399,0.592,5578.5,678.2,6256.7,7613.1,1.2,0.9516375,7613.1,0.0,1.0,0.0,4462.8,542.5600000000001,5005.360000000001,1.7999910607672611,5.399973182301784,0.1107447920893949,0.23013532422081748,61.8135926193539,185.4407778580617,51.50909638771475,69.94273681838591,2.791872716531846,2.487749377777572,3.378044116524244,-0.8902947387466722,0.624630881566971,494.2318581365516,5084.268141863448,124.86222150924675,553.3377784907533,619.0940796457983,5637.605920354202,11275.211840708404,868.8185226642918,6744.281477335708,5.219974076225057,15.659922228675171,2.526054804335193,4535.210165251756,2579.877487117339,1955.3326781344163,9070.420330503512,5159.754974234678,3910.6653562688325,988.4637162731032,249.7244430184935,1238.1881592915965,12513.4
102,102,2032,7NB,7,NB,PM-Peak,2,Peak,PM,2.9,70,8000.0,1,6,70,3600,1,5,0.5,0,5960.5,170.7,45.3,344.9,11.6,1.1612103960859188,3.6,1.8,0.3879310344827586,0.3879310344827586,3.399,0.592,6258.525000000001,601.125,6859.650000000001,7678.0,1.2,0.95975,7678.0,0.0,1.0,0.0,5006.820000000001,480.90000000000003,5487.720000000001,1.7999958973260937,5.399987691978281,0.14870307049214118,0.28862550428683803,55.52640096485585,166.57920289456757,54.16851895630916,69.7567219996235,3.5681120542751854,2.494383265328023,3.2121978476159487,-0.7178145822879256,0.5085384933311644,744.5295074014624,5513.9954925985385,138.8000050115404,462.3249949884596,883.3295124130028,5976.320487586998,11952.640975173996,1160.9295224360835,6900.9704775639175,5.219988102245671,15.659964306737015,2.36567254699927,6060.038294662106,3886.4351704064643,2173.6031242556414,12120.076589324211,7772.870340812929,4347.206248511283,1489.0590148029248,277.6000100230808,1766.6590248260056,13719.300000000001
103,103,2032,7NB,7,NB,PM-Late,5,OP,PM,2.9,70,8000.0,1,6,70,3600,1,5,0.5,0,3203.8,54.6,11.6,281.0,30.2,1.1612103960859188,3.6,1.8,0.3879310344827586,0.3879310344827586,3.399,0.592,3203.8,377.4,3581.2000000000003,4336.0,1.2,0.542,4336.0,0.0,1.0,0.0,2563.0400000000004,301.92,2864.9600000000005,0.6673414575121047,2.0020243725363143,0.11445624803434275,0.2365011780208761,61.042360425227315,183.12708127568195,69.16919788553614,69.9961002402438,1.5662894702655203,2.485852774694437,2.5155705909434127,-0.029717816248975737,0.020899413660389082,293.3559419619419,2910.4440580380583,71.40443566806292,305.9955643319371,364.76037763000477,3216.4396223699955,16082.198111849977,507.56924896613066,3828.4307510338695,1.9352902267851035,5.805870680355311,0.9286151215057824,982.2938069408076,567.7288874482841,414.5649194925235,4911.469034704038,2838.6444372414207,2072.8245974626175,1466.7797098097094,357.02217834031455,1823.8018881500238,17906.0
104,104,2032,7SB,7,SB,Night,6,OP,NT,2.9,70,8000.0,1,6,70,3600,1,5,0.5,0,1039.3,27.9,4.6,238.0,30.2,1.1612103960859188,3.6,1.8,0.3879310344827586,0.3879310344827586,3.402,0.708,1039.3,300.7,1340.0,1941.3999999999999,1.2,0.24267499999999997,1941.3999999999999,0.0,1.0,0.0,831.44,240.56,1072.0,1.7999428000009785,5.399828400002935,0.38793102931196344,0.38793102665320345,-1139961.8773373077,-3419885.632011923,69.99846173651156,69.99080977460825,0.0,2.4860406753448494,2.485768910965092,0.00027176437975739987,3.823767556448906e-05,322.5413750111389,716.7586249888611,93.32068777169462,207.37931222830537,415.8620627828335,924.1379372171665,5544.827623302999,602.5034383262227,1338.8965616737773,5.2198341200028375,15.659502360008512,2.607767870274423,3144.968004794243,1683.6124743957732,1461.3555303984695,18869.80802876546,10101.674846374639,8768.133182390817,1935.2482500668334,559.9241266301677,2495.1723766970013,8040.0
105,105,2032,7SB,7,SB,AM-Early,1,OP,AM,2.9,70,8000.0,1,6,70,3600,1,5,0.5,0,2831.0,88.3,62.7,320.5,30.2,1.1612103960859188,3.6,1.8,0.3879310344827586,0.3879310344827586,3.246,0.715,2831.0,501.7,3332.7,4336.1,1.2,0.5420125,4336.1,0.0,1.0,0.0,2264.8,401.36,2666.16,0.7213968556814198,2.164190567044259,0.10402938104472823,0.19573406678374358,63.21585281485837,189.6475584445751,69.12129308133818,69.99730854002749,1.6341582938473287,2.485809863682105,2.5173140177694053,-0.03150415408730023,0.022119812438583675,235.6057421901005,2595.3942578098995,78.55982504432333,423.1401749556767,314.16556723442386,3018.534432765576,3018.534432765576,471.28521732307047,3864.8147826769296,2.0920508814761174,6.276152644428351,1.0821799374732524,985.9526543273931,492.8992006296346,493.0534536977585,985.9526543273931,492.8992006296346,493.0534536977585,235.6057421901005,78.55982504432333,314.16556723442386,3332.7
106,106,2032,7SB,7,SB,AM-Peak,1,Peak,AM,2.9,70,8000.0,1,6,70,3600,1,5,0.5,0,4735.4,185.8,67.4,300.8,29.0,1.1612103960859188,3.6,1.8,0.3879310344827586,0.3879310344827586,3.246,0.715,4972.17,612.15,5584.32,6484.4,1.2,0.81055,6484.4,0.0,1.0,0.0,3977.7360000000003,489.72,4467.456,1.799975458356539,5.399926375069617,0.10992091009228118,0.2042922983445186,61.86552995116339,185.59658985349014,61.541609989209334,69.97477278125689,3.7232517388371535,2.4866104323615157,2.827355345927886,-0.3407449135663705,0.23914874214952012,437.2363612268302,4534.93363877317,100.04602434527764,512.1039756547224,537.2823855721078,5047.037614427893,5047.037614427893,737.374434262663,6071.2455657373375,5.219928829233963,15.659786487701888,2.4703134160615465,3849.0420673477583,2282.3426871572856,1566.699380190473,3849.0420673477583,2282.3426871572856,1566.699380190473,437.2363612268302,100.04602434527764,537.2823855721078,5584.32
107,107,2032,7SB,7,SB,AM-Shoulder,3,OP,AM,2.9,70,8000.0,1,6,70,3600,1,5,0.5,0,4146.7,249.7,76.6,447.1,32.5,1.1612103960859188,3.6,1.8,0.3879310344827586,0.3879310344827586,3.246,0.715,4146.7,805.9,4952.599999999999,6564.4,1.2,0.82055,6564.4,0.0,1.0,0.0,3317.36,644.72,3962.08,1.3951717712581777,4.185515313774533,0.0982927145454752,0.18671243456408187,64.75141016722948,194.25423050168843,60.490299483035436,69.98226202663709,2.523044001579475,2.4863443244199654,2.876494272421291,-0.3901499480013255,0.2735459906949037,326.0723195245776,3820.627680475422,120.37724081215487,685.5227591878452,446.4495603367325,4506.150439663267,13518.451318989803,687.2040419610422,5877.1959580389575,4.045998136648715,12.137994409946145,2.1475386373220307,2780.4262732718425,1319.2879972091655,1461.1382760626768,8341.278819815529,3957.8639916274965,4383.414828188031,978.2169585737329,361.1317224364646,1339.3486810101974,14857.8
108,108,2032,7SB,7,SB,MD,4,OP,MD,2.9,70,8000.0,1,6,70,3600,1,5,0.5,0,4842.2,221.8,82.4,529.5,20.9,1.1612103960859188,3.6,1.8,0.3879310344827586,0.3879310344827586,3.249,0.708,4842.2,854.6,5696.8,7406.0,1.2,0.92575,7406.0,0.0,1.0,0.0,3873.76,683.6800000000001,4557.4400000000005,1.7999409834435698,5.39982295033071,0.10116904621476852,0.19209009628156964,63.650047244992386,190.95014173497717,52.985810713164774,69.9653122179628,2.826740638819887,2.4869466666272873,3.2838980409668097,-0.7969513743395225,0.5587286286767666,391.9046044649217,4450.295395535079,131.32815702578355,723.2718429742165,523.2327614907052,5173.567238509295,20694.26895403718,785.8890755422724,6620.110924457728,5.219828851986352,15.659486555959058,2.7034888860533326,4102.206470976435,2045.6749616122977,2056.5315093641375,16408.82588390574,8182.699846449191,8226.12603745655,1567.6184178596868,525.3126281031342,2092.931045962821,22787.2
109,109,2032,7SB,7,SB,PM-Shoulder,2,OP,PM,2.9,70,8000.0,1,6,70,3600,1,5,0.5,0,6739.7,184.6,62.7,387.8,13.9,1.1612103960859188,3.6,1.8,0.3879310344827586,0.3879310344827586,3.399,0.592,6739.7,649.0,7388.7,8686.7,1.2,1.0858375,8686.7,0.0,1.0,0.0,5391.76,519.2,5910.96,1.7999994075772154,5.3999982227316465,0.16301031544629357,0.3094176371786292,53.59180273260667,160.77540819782004,44.034480016975934,69.46381382121568,2.4949872313835604,2.504901335360553,3.951448953931566,-1.4465476185710129,1.026014267752096,878.9124984107078,5860.787501589292,160.64963722314428,488.3503627768557,1039.562135633852,6349.137864366148,12698.275728732297,1360.8614100801406,7325.838589919859,5.219998281973925,15.659994845921775,2.3563283501523298,7103.694222622947,4587.921731709304,2515.7724909136423,14207.388445245893,9175.843463418609,5031.544981827285,1757.8249968214157,321.29927444628856,2079.124271267704,14777.4
