Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S4,SB,Heavy B,497,42,33,33,26,32,30,16,16,7,22,15,17,12,15,9,7,5,6,22,23,32,20,25,32
S4,NB,Lights,82728,605,408,379,680,1578,5139,6448,5255,4975,4811,4761,4355,4453,4608,4942,5062,4903,4987,4045,2929,2429,2210,1703,1063
S4,NB,Medium A,2687,23,23,17,21,43,84,134,165,185,229,231,230,229,206,203,129,152,118,90,62,47,30,17,19
S4,NB,Medium B,994,9,10,25,18,21,45,64,39,79,75,97,81,87,75,75,52,36,29,22,15,7,14,8,11
S4,NB,Heavy A,6499,174,194,165,229,267,248,203,212,344,422,437,391,380,397,307,284,258,234,231,230,237,237,211,207
S4,NB,Heavy B,537,46,47,55,40,33,22,16,6,0,17,20,13,20,9,9,6,9,6,10,17,22,39,43,32
S5,SB,Lights,82193,1145,860,720,548,826,2178,3537,4280,3951,3558,3914,4216,4621,5124,5633,5142,4452,5062,5008,4816,3995,3614,2915,2078
S5,SB,Medium A,2900,17,15,26,42,39,80,171,227,243,301,222,212,257,168,184,155,119,112,114,100,30,26,19,21
S5,SB,Medium B,1005,12,6,7,10,21,79,77,81,82,74,75,85,90,81,54,44,27,26,18,19,9,11,8,9
S5,SB,Heavy A,7199,177,161,178,193,261,282,236,296,396,464,469,442,464,426,352,312,266,287,326,312,262,221,222,194
S5,SB,Heavy B,603,42,44,35,27,34,29,28,26,22,36,15,23,20,17,13,12,16,13,23,25,19,23,24,37
S5,NB,Lights,88026,634,439,435,720,1775,5625,6502,5642,5127,5055,5001,4588,4738,4933,5305,5468,5261,5403,4383,3163,2703,2325,1728,1073
S5,NB,Medium A,3098,28,33,24,31,42,80,148,203,264,264,235,245,267,225,210,175,160,146,107,64,47,34,37,29
S5,NB,Medium B,997,10,11,6,7,31,44,63,42,81,70,109,83,88,81,71,56,36,37,24,18,2,12,5,10
S5,NB,Heavy A,7032,180,185,174,241,274,251,226,242,390,450,483,430,425,439,349,318,298,277,247,248,238,245,201,221
S5,NB,Heavy B,609,41,47,48,44,34,22,16,7,23,20,29,17,27,15,15,6,12,9,11,19,27,43,44,33
S6,SB,Lights,84798,1112,806,645,588,892,2226,3571,4067,3617,3297,3780,3999,4666,5140,5899,5866,5550,5748,5695,5044,4124,3570,2860,2041
S6,SB,Medium A,2974,18,25,19,33,47,86,190,247,256,263,232,222,213,222,171,148,147,129,122,86,32,22,31,17
S6,SB,Medium B,833,5,3,6,6,8,53,59,70,62,73,64,72,69,74,52,40,29,29,22,14,7,7,3,12
S6,SB,Heavy A,7324,179,174,174,185,257,277,258,289,401,458,501,486,457,424,368,299,270,301,339,315,273,228,222,195
S6,SB,Heavy B,550,36,37,28,29,34,23,23,27,24,35,16,20,21,18,11,13,13,14,20,26,17,15,18,37
S6,NB,Lights,86145,622,465,476,846,1832,5682,6334,5201,5109,4991,4863,4470,4606,4818,5045,5194,5056,5303,4396,3116,2621,2339,1709,1056
S6,NB,Medium A,2955,32,26,24,24,44,81,149,184,249,234,242,235,258,204,217,164,173,153,102,62,32,32,19,22
S6,NB,Medium B,820,6,5,4,8,10,32,51,40,64,71,98,64,76,64,56,47,39,32,22,12,6,13,2,5
S6,NB,Heavy A,7036,202,182,161,249,278,261,220,238,393,434,475,421,429,428,340,324,310,280,257,242,238,236,222,221
S6,NB,Heavy B,515,19,41,53,42,15,21,12,9,22,19,26,15,26,15,13,8,12,9,11,19,26,37,18,33
S7,SB,Lights,82187,934,692,539,561,907,2439,4079,4077,3432,3204,3545,3777,4426,4934,5734,5875,5945,5965,5467,4798,3670,3058,2397,1737
S7,SB,Medium A,2640,23,25,19,27,35,76,160,219,224,202,180,207,195,184,175,144,136,117,114,64,40,34,28,18
S7,SB,Medium B,840,1,2,6,6,7,54,58,61,63,74,61,79,68,76,59,49,30,32,25,16,4,7,2,3
S7,SB,Heavy A,7372,181,204,189,191,272,277,259,275,412,470,475,475,450,423,364,304,272,306,352,308,286,224,212,196
