Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S4,WB,Medium B,994.0,9.0,10.0,25.0,18.0,21.0,45.0,64.0,39.0,79.0,75.0,97.0,81.0,87.0,75.0,75.0,52.0,36.0,29.0,22.0,15.0,7.0,14.0,8.0,11.0
S4,WB,Heavy A,6499.0,174.0,194.0,165.0,229.0,267.0,248.0,203.0,212.0,344.0,422.0,437.0,391.0,380.0,397.0,307.0,284.0,258.0,234.0,231.0,230.0,237.0,237.0,211.0,207.0
S4,WB,Heavy B,537.0,46.0,47.0,55.0,40.0,33.0,22.0,16.0,6.0,0.0,17.0,20.0,13.0,20.0,9.0,9.0,6.0,9.0,6.0,10.0,17.0,22.0,39.0,43.0,32.0
S5,EB,Lights,82193.0,1145.0,860.0,720.0,548.0,826.0,2178.0,3537.0,4280.0,3951.0,3558.0,3914.0,4216.0,4621.0,5124.0,5633.0,5142.0,4452.0,5062.0,5008.0,4816.0,3995.0,3614.0,2915.0,2078.0
S5,EB,Medium A,2900.0,17.0,15.0,26.0,42.0,39.0,80.0,171.0,227.0,243.0,301.0,222.0,212.0,257.0,168.0,184.0,155.0,119.0,112.0,114.0,100.0,30.0,26.0,19.0,21.0
S5,EB,Medium B,1005.0,12.0,6.0,7.0,10.0,21.0,79.0,77.0,81.0,82.0,74.0,75.0,85.0,90.0,81.0,54.0,44.0,27.0,26.0,18.0,19.0,9.0,11.0,8.0,9.0
S5,EB,Heavy A,7199.0,177.0,161.0,178.0,193.0,261.0,282.0,236.0,296.0,396.0,464.0,469.0,442.0,464.0,426.0,352.0,312.0,266.0,287.0,326.0,312.0,262.0,221.0,222.0,194.0
S5,EB,Heavy B,603.0,42.0,44.0,35.0,27.0,34.0,29.0,28.0,26.0,22.0,36.0,15.0,23.0,20.0,17.0,13.0,12.0,16.0,13.0,23.0,25.0,19.0,23.0,24.0,37.0
S5,WB,Lights,88026.0,634.0,439.0,435.0,720.0,1775.0,5625.0,6502.0,5642.0,5127.0,5055.0,5001.0,4588.0,4738.0,4933.0,5305.0,5468.0,5261.0,5403.0,4383.0,3163.0,2703.0,2325.0,1728.0,1073.0
S5,WB,Medium A,3098.0,28.0,33.0,24.0,31.0,42.0,80.0,148.0,203.0,264.0,264.0,235.0,245.0,267.0,225.0,210.0,175.0,160.0,146.0,107.0,64.0,47.0,34.0,37.0,29.0
