Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S5,SB,Heavy A,7365.523717,177,161,178,193,261,282,222.2121268,248.5743298,350.5857068,427.7555004,421.915557,442,417.6,387.6804965,316.8,312,372.4,401.8,456.4,436.8,262,221,222,194
S5,SB,Heavy B,616.3282117,42,44,35,27,34,29,26.36415064,21.83423167,19.47698371,33.18792675,13.49410097,23,18,15.47081793,11.7,12,22.4,18.2,32.2,35,19,23,24,37
S5,NB,Lights,86131.5151,634,439,435,720,1775,5062.5,5851.8,5934.832166,5840.863409,5838.957316,5029.529416,4419.93042,4448.648225,4439.7,4782.007362,4975.573568,4192.511702,4418.80825,5153.970232,3909.883031,2703,2325,1728,1073
S5,NB,Medium A,3055.377773,28,33,24,31,42,72,133.2,213.5361449,300.7583265,304.9425779,236.3406144,236.0250551,250.6941908,202.5,189.2971811,159.2401928,127.5046326,119.4051461,125.821313,79.11239772,47,34,37,29
S5,NB,Medium B,977.0991802,10,11,6,7,31,39.6,56.7,44.17989206,92.2781229,80.85598657,109.6218169,79.95950846,82.62580072,72.9,64.00047553,50.95686171,28.68854234,30.26020827,28.22160291,22.25036186,2,12,5,10
S5,NB,Heavy A,6966.083351,180,185,174,241,274,225.9,203.4,254.5603304,444.3020732,519.7884851,485.7553905,414.2480559,399.0450603,395.1,314.5938867,289.362179,237.4773783,226.5426403,290.44733,306.5605411,238,245,201,221
S5,NB,Heavy B,608.586964,41,47,48,44,34,19.8,14.4,7.363315343,26.20242996,23.10171045,29.16543753,16.37724872,25.35109795,13.5,13.52122722,5.459663755,9.562847447,7.3605912,12.93490133,23.48649307,27,43,44,33
S6,SB,Lights,85250.00648,1112,806,644.5,587.5,892,2226,3360.977671,3551.277345,3444.632122,3197.565791,3327.399985,3598.65,4198.95,4626,5309.1,5278.95,6001.797013,6996.138711,6963.687878,6532.879966,4124,3570,2859.5,2040.5
S6,SB,Medium A,2878.132025,18,25,19,32.5,46.5,86,178.379854,215.7052759,243.8003382,254.6218778,204.2213747,199.8,191.25,199.8,153.45,133.2,158.425813,156.4028922,149.1782127,111.3963869,32,22,31,16.5
S6,SB,Medium B,795.018474,4.5,2.5,6,6,7.5,52.5,55.0671317,60.69439948,58.56922187,70.80913172,55.89679868,64.8,61.65,66.15,46.8,36,31.36074115,35.29715077,26.28960305,18.13429553,6.5,7,3,12
S6,SB,Heavy A,7231.501274,178.5,173.5,174,185,257,277,242.3895113,252.3839058,381.414201,443.7695584,441.0125376,436.95,410.85,381.6,330.75,268.65,291.4386117,365.7515106,414.5197876,408.0216495,272.5,228,221.5,195
S6,SB,Heavy B,548.6608345,36,37,28,29,33.5,23,21.17966604,23.57911922,22.38010917,33.46458965,14.08423274,17.55,18.9,15.75,9.9,11.25,14.05826327,16.43143225,24.4554447,33.67797742,16.5,14.5,18,36.5
S6,NB,Lights,87262.97657,622,464.5,475.5,845.5,1832,5113.8,5700.6,6371.37214,6411.568584,6078.057557,5125.211147,4418.149787,4145.4,4335.75,4540.05,4674.15,4405.908115,4677.746611,4939.312631,4362.4,2621,2339,1708.5,1055.5
S6,NB,Medium A,3010.660651,31.5,26,24,23.5,44,72.9,133.65,224.8143039,311.8870105,284.3571308,255.0485498,231.7798937,231.75,183.6,194.85,147.15,150.7559541,134.9731695,114.0446388,86.1,32,31.5,19,21.5
S6,NB,Medium B,831.3508192,5.5,5,3.5,7.5,10,28.8,45.45,48.39326979,79.69748559,85.85515083,103.2841235,62.76342538,68.4,57.6,50.4,41.85,33.54973545,27.78859373,24.719035,16.8,5.5,13,1.5,4.5
S6,NB,Heavy A,7159.987793,202,181.5,160.5,249,278,234.45,197.55,290.9721918,492.6183164,527.9178423,500.0848631,416.1165683,385.65,385.2,305.55,291.6,269.7050161,247.009722,288.7632726,338.8,238,236,222,221
S6,NB,Heavy B,524.9851582,19,40.5,53,41.5,15,18.9,10.35,10.4137416,27.61172729,23.1382676,26.87495049,14.826006,23.4,13.05,11.25,6.75,10.02134955,7.939598209,12.3595175,26.6,25.5,37,17.5,32.5
S7,SB,Lights,80729.13553,934,691.5,539,561,907,2438.5,3742.514319,3736.856441,3415.528011,3219.705543,3370.589312,3399.3,3982.95,4440.6,5160.6,5287.05,5549.157632,6495.360703,6243.063563,5753.860006,3670,3058,2396.5,1736.5
S7,SB,Medium A,2539.059487,22.5,24.5,18.5,26.5,34.5,76,146.360435,200.2951386,222.9249051,202.9901747,171.1683104,186.3,175.05,165.6,157.5,129.15,126.4884951,126.8582602,129.6236558,76.75011262,40,34,27.5,18
S7,SB,Medium B,801.230337,1,2,5.5,6,7,53.5,53.22197635,55.91763594,62.69762957,73.86028633,57.53157099,71.1,61.2,68.4,53.1,43.65,27.53808565,34.84518734,27.98043671,19.18752816,4,7,2,3
