,Unnamed: 0,index,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,TotalVeh_Real,Corridor PCE pre-fix,Suppressed ratio ref,Suppressed ratio,Corridor PCE,Suppressed Demand,PCE ratio,HOV3,InScopeLights,InScopeHeavies,InScopeVeh,TollLights,TollHeavies,CaptureRateLights,CaptureRateHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,Bounus Seg,Time ML,Time GP,Time Savings,BonusRel,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,GPVehDay,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
10,10,266,AM-Peak,2,Peak,AM,1,SB,1SB,3.9,70,10400.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2571428571428571,0.2571428571428571,3.479,0.715,11825.1,972.1,12797.2,12797.2,14741.4,1.1,1.4174423076923075,14741.4,0.0,1.0,1419.012,8532.99216,797.122,10493.704,2.5749968076002108,7.724964291097764,0.1882428375131567,0.1882428375255294,-143.2570070469568,-429.7695673334207,51.20607513673832,32.285290632219464,-1.755887751332079,7.2478827174155,4.56977027384226,2.67811244357324,0.858839191689582,1606.2746566759201,8799.81334332408,150.05250713402503,822.047492865975,1756.3271638099452,9621.860836190055,19243.72167238011,3475.4441780779953,11265.955821922005,10.042487549640821,30.12736073528128,3.0149863200787275,20651.679252631653,41303.358505263306,3212.5493133518403,300.10501426805007,4931.666327619891,25594.4
11,11,267,AM-Shoulder,1,OP,AM,1,SB,1SB,3.9,70,10400.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2571428571428571,0.2571428571428571,3.479,0.715,10410.0,1532.9,11942.9,11942.9,15008.7,1.1,1.4431442307692308,15008.7,0.0,1.0,1249.2,7511.855999999999,1256.978,9793.178,2.574999876161197,7.724962303181267,0.1962045309813123,0.1962045312680404,-189.6792259553877,-569.0349284157578,51.20607513673832,33.15386966786438,-1.0707867891440186,7.057999634558895,4.56977027384226,2.488229360716635,0.858839191689582,1473.8601832791564,7686.939816720843,246.6247793042389,1286.2752206957612,1720.4849625833954,8973.215037416605,8973.215037416605,3462.9345211918735,11545.765478808127,10.042499517028668,30.127352982406943,3.313226814850516,22231.391959055727,22231.391959055727,1473.8601832791564,246.6247793042389,2969.6849625833956,11942.9
12,12,268,MD,5,OP,MD,1,SB,1SB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.482,0.708,10662.6,1002.3,11664.9,11664.9,13669.5,1.1,1.7086875,13669.5,0.0,1.0,1279.512,7694.132159999999,821.886,9565.218,3.6752072398882216,10.95968735316318,0.1591199038184579,0.1593897775137222,70.62128440455812,210.5968853000834,25.256525113464928,50.72714466062819,1.5534985666411925,4.612914871623334,9.26493248571429,-4.652017614090956,4.145452740000002,1224.2895692657034,8158.798430734297,131.00022668164306,871.2997733183569,1355.2897959473464,9030.098204052654,45150.491020263275,2896.8022493106328,10772.697750689367,14.333308235564065,42.7427806773364,4.3793138811028465,23147.43372360611,115737.16861803056,6121.447846328518,655.0011334082153,8055.960979736733,58324.5
13,13,269,PM-Shoulder,1,OP,PM,1,SB,1SB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.632,0.592,11807.0,720.4,12527.4,12527.4,13968.2,1.1,1.7460250000000002,13968.2,0.0,1.0,1416.84,8519.931199999999,590.728,10272.468,3.67400031212444,10.96713122211453,0.1553421727868336,0.1554536824697901,74.921350980023,223.645132752014,25.256525113464928,46.98390687335907,1.3237205682631827,4.980428737668116,9.26493248571429,-4.284503748046174,4.145452740000002,1323.5046246023344,9066.655375397666,91.83084293801416,628.5691570619858,1415.3354675403486,9695.224532459652,9695.224532459652,3015.837153416377,10952.362846583623,14.328601217285316,42.771811766246664,4.147198627634458,22891.741503640256,22891.741503640256,1323.5046246023344,91.83084293801416,2832.1754675403486,12527.4
14,14,270,PM-Peak,3,Peak,PM,1,SB,1SB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.632,0.592,10702.8,669.1,11371.9,11371.9,12710.1,1.1,1.5887625,12710.1,0.0,1.0,1284.3359999999998,7723.140479999999,548.662,9324.958,4.066301576561366,12.1405806944328,0.1704581155486792,0.1705565846001997,71.96401998082493,214.85986103662376,25.256525113464928,50.80067158092344,2.4346274655160367,4.606238317681438,9.26493248571429,-4.658694168032852,4.145452740000002,1316.4719723385217,8101.992027661478,93.57791681991478,575.5220831800852,1410.0498891584366,8677.514110841563,26032.54233252469,2881.5417227982657,9828.558277201733,15.858576148589327,47.348264708287914,4.602150857840271,25308.1229972535,75924.36899176051,3949.4159170155654,280.73375045974433,5514.48566747531,34115.7
15,15,271,PM-Late,3,OP,NT,1,SB,1SB,3.9,70,8000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3103448275862069,0.3103448275862069,3.635,0.708,5770.6,434.6,6205.200000000001,6205.200000000001,7074.400000000001,1.1,0.8843000000000001,7074.400000000001,0.0,1.0,692.472,4164.064960000001,356.372,5088.264,1.905146784319122,5.703815969045198,0.1185033193428388,0.1185829622935424,93.54872878717264,280.0753923697541,55.60254536269793,69.77860187270143,2.5897705876007198,3.353463579377688,4.208440431523545,-0.8549768521458572,0.605908302066482,493.4555197192053,4584.672480280795,42.259647438474296,392.3403525615257,535.7151671576796,4977.012832842321,14931.038498526963,1312.7064620346282,5761.693537965371,7.430072458844576,22.244882279276272,2.2048030761759305,4606.471149163083,13819.413447489249,1480.366559157616,126.77894231542288,2299.617501473039,18615.600000000002
16,16,272,Night,8,OP,NT,2,NB,2NB,3.1,70,9000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2857142857142857,0.2857142857142857,3.635,0.708,2226.5,385.9,2612.4,2612.4,3384.2,1.1,0.3760222222222222,3384.2,0.0,1.0,267.18,1802.5744,355.028,2403.4080000000004,0.5597062685231221,1.678921734229056,0.1009862863541045,0.1009896782107403,98.59137716387406,295.7394176855896,69.88994684297593,69.99875541319031,0.8904728072154131,2.657190101482159,2.661326963345564,-0.0041368618634045,0.0029288743418946,182.0352945329781,1777.284705467022,35.85416347580271,350.0458365241973,217.88945800878082,2127.3305419912194,17018.644335929755,556.7777849603863,2827.4222150396135,1.7350894324216786,5.204657376110074,0.7438755011183495,502.456152270531,4019.649218164248,1456.2823562638248,286.83330780642166,2010.2956640702466,20899.2
17,17,273,AM-Early,1,OP,AM,2,NB,2NB,3.1,70,7200.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3333333333333333,0.3333333333333333,3.479,0.715,9746.9,773.6,10520.5,10520.5,12067.7,1.1,1.6760694444444446,12067.7,0.0,1.0,1169.628,7891.090239999999,711.7120000000001,9678.86,5.1499997563110025,15.449998876051016,0.250615026845799,0.2506150206814493,47.668505882127526,143.00551400985862,12.49945488018892,25.452065569477345,0.9515253193786616,7.307854818001692,14.880648938923066,-7.572794120921374,8.556454257246147,1977.6257923402222,6599.646207659777,178.36571759923567,595.2342824007644,2155.991509939458,7194.880490060542,7194.880490060542,3682.3509451379286,8385.34905486207,15.964999244564108,47.89499651575815,6.0021212631881395,40115.61970368824,40115.61970368824,1977.6257923402222,178.36571759923567,3325.619509939458,10520.5
18,18,274,AM-Peak,2,Peak,AM,2,NB,2NB,3.1,70,6300.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.3636363636363636,0.3636363636363636,3.479,0.715,8953.6,722.0,9675.6,9675.6,11119.6,1.1,1.7650158730158731,11119.6,0.0,1.0,1074.432,7248.834560000001,664.24,8901.552000000001,5.149999840582965,15.449999201673355,0.2805445290052177,0.280544526537962,41.05371440825141,123.16114067324158,11.586509745641717,25.63982118265971,1.656901240644554,7.2543407645055025,16.053151819076852,-8.798811054571349,9.377206273353796,2033.6208774719448,5845.547122528055,186.3488963075759,535.6511036924242,2219.969773779521,6381.198226220479,12762.396452440958,3667.0995663946724,7452.500433605328,15.964999505807192,47.89499752518741,6.014603284998401,41391.93623131154,82783.87246262308,4067.2417549438896,372.6977926151518,5514.371547559042,19351.2
19,19,275,AM-Shoulder,1,OP,AM,2,NB,2NB,3.1,70,9000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2857142857142857,0.2857142857142857,3.479,0.715,7882.2,1138.6,9020.8,9020.8,11298.0,1.1,1.2553333333333334,11298.0,0.0,1.0,945.864,6381.429120000001,1047.512,8299.136,4.379709415162703,13.146869980142291,0.1471835069673232,0.1459836604575516,76.07393000394306,228.3562610747158,26.53104673269496,63.35914023388354,1.979627341294357,2.935645895973348,7.010654418349312,-4.075008522375965,3.0474580928445194,939.2411173449993,5997.094882655001,152.9196361332108,985.6803638667891,1092.1607534782102,6982.77524652179,6982.77524652179,2343.864025744632,8954.135974255369,13.57709918700438,40.755296938441106,5.60724940801492,18984.45498903325,18984.45498903325,939.2411173449993,152.9196361332108,2038.0247534782102,9020.8
20,20,276,MD,5,OP,MD,2,NB,2NB,3.1,70,10350.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2580645161290322,0.2580645161290322,3.482,0.708,8073.4,744.4,8817.8,8817.8,10306.6,1.1,0.995806763285024,10306.6,0.0,1.0,968.808,6536.22464,684.848,8112.375999999999,2.5645824535183657,7.66615037194814,0.091689313899657,0.0918095299490078,89.35255682311013,267.096164439658,44.45641672613387,68.77996695189573,1.989452069086696,2.704275797778257,4.183872963622352,-1.4795971658440945,1.0687110745356467,599.3019527356325,6505.290047264367,62.87557296651809,681.5244270334819,662.1775257021507,7186.814474297848,35934.072371489245,1756.7366716351867,8549.863328364812,7.950205605906934,23.765066153039236,3.048990325197115,6258.815895229346,31294.07947614673,2996.509763678163,314.3778648325905,4279.6956285107535,44089.0
21,21,277,PM-Shoulder,1,OP,PM,2,NB,2NB,3.1,70,10350.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2580645161290322,0.2580645161290322,3.632,0.592,8939.9,535.1,9475.0,9475.0,10545.2,1.1,1.0188599033816426,10545.2,0.0,1.0,1072.788,7237.743039999999,492.292,8717.0,2.595146674747199,7.762559022907411,0.0967990168187333,0.0968649305192766,88.47080683580442,264.6323872750166,42.70466589838101,67.92986097080924,1.83138060150718,2.73811836711881,4.355495964834407,-1.6173775977155973,1.1888471753840852,700.6064102586298,7166.5055897413695,47.685830375195714,487.4141696248043,748.2922406338255,7653.919759366174,7653.919759366174,1916.4519013842169,8628.748098615783,8.044954691716317,24.063932971012974,2.9244462923729833,6783.855453072495,6783.855453072495,700.6064102586298,47.685830375195714,1821.0802406338255,9475.0
22,22,278,PM-Peak,3,Peak,PM,2,NB,2NB,3.1,70,10350.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2580645161290322,0.2580645161290322,3.632,0.592,8103.9,496.9,8600.8,8600.8,9594.6,1.1,0.927014492753623,9594.6,0.0,1.0,972.468,6560.91744,457.148,7912.736,5.149995877003527,15.44994179969198,0.2580645154050818,0.2580645141553732,-340.0273592798066,-1020.0790518365628,62.23298015304109,45.40235100461759,-1.5187584909777383,4.096704154837337,2.988768970127986,1.1079351847093508,0.2321382790895899,1693.1399797663498,5438.29202023365,117.97367651710054,378.9263234828994,1811.1136562834504,5817.2183437165495,17451.655031149647,3019.5290093176513,6575.070990682349,15.964987218710935,47.894819579045134,5.820921461497437,32681.28608832143,98043.85826496429,5079.4199392990495,353.9210295513016,6405.8089688503505,25802.399999999998
23,23,279,PM-Late,3,OP,NT,2,NB,2NB,3.1,70,9000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2857142857142857,0.2857142857142857,3.635,0.708,4369.3,322.8,4692.1,4692.1,5337.700000000001,1.1,0.5930777777777778,5337.700000000001,0.0,1.0,524.316,3537.3852800000004,296.976,4316.732000000001,0.9018067302367933,2.703518800229121,0.0976545282646217,0.0976770580377373,101.4967758281361,304.27632929946753,68.31016330638049,69.967100687564,1.294236439035865,2.6583922754006557,2.722874474267678,-0.0644821988670227,0.0460121319873746,345.4416908086168,3499.5423091913835,29.00774198781507,293.79225801218496,374.44943279643184,3793.3345672035684,11380.003701610705,956.780916772062,4380.919083227938,2.7956008637340592,8.380908280710276,1.0413812476084956,1208.8283142247094,3626.4849426741284,1036.3250724258503,87.02322596344521,1647.6642983892955,14076.300000000001
24,24,280,Night,8,OP,NT,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2857142857142857,0.2857142857142857,3.635,0.708,2455.6,389.4,2845.0,2845.0,3623.8,1.1,0.4026444444444444,3623.8,0.0,1.0,294.672,1988.05376,358.248,2617.4,0.5977414323104829,1.792945620018349,0.1005582937365788,0.1005627409268962,98.94275311865424,296.78213061279337,69.83379931282292,69.99799083920816,0.9444529688208844,2.65721912543546,2.663466714259761,-0.0062475888243014,0.0044266999818325,199.91529396218993,1961.01270603781,36.02640081157871,353.3735991884213,235.94169477376863,2314.3863052262313,18515.09044180985,602.666496396926,3021.1335036030737,1.852998440162497,5.558131422056881,0.7802395073511311,570.6821982510162,4565.4575860081295,1599.3223516975195,288.2112064926297,2182.205558190149,22760.0
25,25,281,AM-Early,1,OP,AM,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2857142857142857,0.2857142857142857,3.479,0.715,6666.1,529.1,7195.200000000001,7195.200000000001,8253.400000000001,1.1,0.9170444444444446,8253.400000000001,0.0,1.0,799.932,5396.874560000001,486.7720000000001,6619.584000000001,1.925528459177125,5.763163185807402,0.0989833016377811,0.0990677742127205,87.12274786127878,260.7609410951403,52.42073952822918,69.5540695053478,1.9964348161806855,2.6741785394124067,3.548213964052088,-0.8740354246396809,0.6237497748364612,534.2004624737473,5331.967537526253,48.2234185890744,480.8765814109256,582.4238810628217,5812.844118937179,5812.844118937179,1478.8027182409705,6774.59728175903,5.969138223449088,17.865805876002945,2.243276188677074,4050.26663472586,4050.26663472586,534.2004624737473,48.2234185890744,1382.3558810628217,7195.200000000001
26,26,282,AM-Peak,2,Peak,AM,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2857142857142857,0.2857142857142857,3.479,0.715,7659.5,616.1,8275.6,8275.6,9507.8,1.1,1.0564222222222222,9507.8,0.0,1.0,919.14,6201.1312,566.812,7613.552000000001,3.919957333229047,11.695425494742432,0.099073935505257,0.0992749921942464,87.36295957834,260.65257804911124,39.2549404614662,68.97130494254401,3.59564985312109,2.696773682257365,4.738257091042669,-2.041483408785304,1.4567799637298688,614.370472568437,6125.989527431563,56.27025687560519,559.8297431243948,670.6407294440422,6685.819270555958,13371.638541111915,1702.3212431952525,7805.478756804748,12.151867733010047,36.25581903370154,4.572359687525595,9505.872971980365,19011.74594396073,1228.740945136874,112.54051375121038,2260.4214588880845,16551.2
27,27,283,AM-Shoulder,1,OP,AM,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2857142857142857,0.2857142857142857,3.479,0.715,6746.9,974.5,7721.4,7721.4,9670.4,1.1,1.0744888888888888,9670.4,0.0,1.0,809.6279999999999,5462.29024,896.5400000000001,7103.688,3.4297534450121154,10.259258094430749,0.1009058975469453,0.1010115957385279,85.72875119283235,256.43632952088143,37.68445013566776,69.21158495655115,2.481795371767946,2.687411364972568,4.935722806897315,-2.248311441924747,1.5950059648281212,551.1772993291193,5386.09470067088,90.56093604341982,883.9390639565802,641.7382353725391,6270.03376462746,6270.03376462746,1632.4881074593786,8037.911892540621,10.632235679537558,31.803700092735323,4.393520756469252,8740.419797720522,8740.419797720522,551.1772993291193,90.56093604341982,1451.366235372539,7721.4
28,28,284,MD,5,OP,MD,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2857142857142857,0.2857142857142857,3.482,0.708,9003.1,814.5,9817.6,9817.6,11446.6,1.1,1.2718444444444446,11446.6,0.0,1.0,1080.372,7288.90976,749.34,9032.192,4.366887558049739,8.962098147142907,0.128297486515003,0.2719954521088197,81.59850235506023,167.46338829308414,26.525401911248704,58.301860546793854,1.5906438483687162,3.1902926983044377,7.0121463426769965,-3.821853644372559,3.048502439873898,935.1488016426737,6987.579198357326,203.81707208322297,610.6829279167771,1138.9658737258967,7598.262126274103,37991.310631370514,2626.9720178923426,8819.627982107657,13.53735142995419,27.782504256143014,5.189196978797308,18321.986639764145,91609.93319882073,4675.744008213368,1019.0853604161148,6775.201368629483,49088.0
29,29,285,PM-Shoulder,1,OP,PM,2,SB,2SB,3.1,70,9000.0,1,6,70,3600,1,6,2050,0.5,0,5.15,2.575,0.2857142857142857,0.2857142857142857,3.632,0.592,10307.2,616.9,10924.1,10924.1,12157.9,1.1,1.3508777777777778,12157.9,0.0,1.0,1236.864,8344.709120000001,567.548,10050.172,3.62652244573804,10.83954772450988,0.1703492269904252,0.1704199499668205,72.08760677562434,215.46731495027552,25.256525113464928,48.53272213429213,1.1264901609112443,3.8324658461425263,7.364433514285717,-3.531967668143191,3.295103460000002,1421.5147480519515,7648.821251948049,96.72150176376904,520.1784982362309,1518.2362498157206,8168.99975018428,8168.99975018428,2948.5432533432586,9209.356746656742,11.242219581787923,33.60259794598063,4.086038965191135,19231.07467284936,19231.07467284936,1421.5147480519515,96.72150176376904,2755.1002498157204,10924.1
