,Period,Hours/Day,Peak,4Periods,Segment,Direction,SegDir,Length,Speed GP,Capacity GP,Alpha GP,Beta GP,Speed ML,Capacity ML,Alpha ML,Beta ML,Year,MinToll,MinCapture,MaxToll,Soft Cap,MaxCapture,MaxCap_aux,B1,B2,TotalLights,TotalHeavies,TotalVeh,HOV3,Corridor PCE,InScopeLights,InScopeHeavies,InScopeVeh,CaptureRateLights,CaptureRateHeavies,TollLights,TollHeavies,VOT Lights,VOT Heavies,Speed GP real,Speed ML real,MLVeh_Lights,GPVeh_Lights,MLVeh_Heavies,GPVeh_Heavies,MLVeh,GPVeh,ML PCE,GP PCE,TollLightsPerSeg,TollHeaviesPerSeg,TollBlend,RevenuePerHour,RevenuePerDay,TransactionsDay_Lights,TransactionsDay_Heavies,TransactionsDay,TotalVeh_hours
10,AM-Peak,2,Peak,AM,1,SB,1SB,3.9,65,10400,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.282229965,3.246,0.715,8367.66,730.485,9098.145,502.0596,10559.115,6449.792328,598.9977,7460.4789,0.143701627,0.135621732,1.949999263,5.849992929,56.94735066,170.84191,42.73221557,69.14318693,926.8456502,6938.75475,81.23710543,649.2478946,1008.082756,7588.002644,1170.556966,8886.498434,7.604997127,22.81497242,2.26428318,8902.080827,17804.16165,1853.6913,162.4742109,2016.165511,18196.29
11,AM-Shoulder,1,OP,AM,1,SB,1SB,3.9,65,10400,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.282229965,3.246,0.715,7015.5,1097.1,8112.6,420.93,10306.8,5407.5474,899.622,6652.332,0.112708112,0.111592143,1.949999899,5.723844403,64.0168494,187.9089765,42.46964007,69.78757871,609.4744576,5985.095542,100.3907467,996.7092533,709.8652044,6981.804796,910.6466978,8975.223302,7.604999607,22.32299317,2.483705546,6876.074965,6876.074965,609.4744576,100.3907467,709.8652044,8112.6
12,MD,5,OP,MD,1,SB,1SB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.340622372,3.249,0.708,7185.8,717.3,7903.1,431.148,9337.7,5538.81464,588.186,6480.542,0.173973582,0.167410697,1.949999494,5.849995072,51.40833778,154.2249234,32.29084815,69.08321279,963.6074243,5791.044576,98.46862808,618.8313719,1062.076052,6409.875948,1259.013309,7647.538691,7.604998028,22.81498078,2.311581147,9574.792419,47873.9621,4818.037122,492.3431404,5310.380262,39515.5
13,PM-Shoulder,1,OP,PM,1,SB,1SB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.340622372,3.399,0.592,7957,515.6,8472.6,477.42,9503.8,6133.2556,422.792,6947.532,0.126329709,0.130118251,3.280105053,9.22655237,62.7778728,176.5868232,26.49284909,69.68128864,774.8123932,6704.767607,55.0129557,460.5870443,829.8253489,7165.354651,939.8512603,8086.52874,12.79240971,35.98355424,3.674322515,11891.27926,11891.27926,774.8123932,55.0129557,829.8253489,8472.6
14,PM-Peak,3,Peak,PM,1,SB,1SB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.340622372,3.399,0.592,7573.545,502.74,8076.285,454.4127,9081.765,5837.688486,412.2468,6622.5537,0.198647798,0.192550735,1.949999861,5.84999944,50.22240878,150.6672227,37.33712817,68.39514984,1159.643965,5959.488335,79.37842449,423.3615755,1239.02239,6382.84991,1397.779239,7229.573061,7.604999458,22.81499782,2.199854767,10630.11031,31890.33093,3478.931896,238.1352735,3717.06717,24228.855
15,PM-Late,3,OP,NT,1,SB,1SB,3.9,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.340622372,3.402,0.708,3888.9,311,4199.9,233.334,4821.9,2997.56412,255.02,3443.918,0.153575407,0.153976703,0.936934047,2.786078221,62.48883054,185.8175293,63.63986958,69.98863444,460.3521305,3195.21387,39.26713876,271.7328612,499.6192692,3466.946731,578.1535468,4010.412453,3.654042784,10.86570506,1.082265914,2108.811529,6326.434587,1381.056391,117.8014163,1498.857808,12599.7
16,Night,8,OP,NT,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.279503106,3.402,0.708,1742.1,322.8,2064.9,104.526,2710.5,1506.56808,296.976,1899.708,0.142236543,0.142280018,0.504540957,1.512115851,64.18166223,192.3532816,64.97910137,69.99969828,214.289036,1423.284964,42.25375067,280.5462493,256.5427867,1703.831213,341.0502881,2264.923712,1.564076968,4.687559139,0.670493074,533.2315008,4265.852007,1714.312288,338.0300054,2052.342294,16519.2
17,AM-Early,1,OP,AM,2,NB,2NB,3.1,65,7200,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.326086957,3.246,0.715,7626.3,647.1,8273.4,457.578,9567.6,6595.22424,595.332,7611.528,0.147038886,0.134333605,3.899999996,11.69999972,57.47709091,172.4312688,19.46075987,69.15085867,969.7544251,6198.967575,79.97309384,567.1269062,1049.727519,6766.094481,1209.673707,7900.348293,12.08999999,36.26999914,4.494240024,14624.95503,14624.95503,969.7544251,79.97309384,1049.727519,8273.4
18,AM-Peak,2,Peak,AM,2,NB,2NB,3.1,65,6300,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.355731225,3.246,0.715,7355.88,634.095,7989.975,441.3528,9258.165,6361.365024,583.3674,7350.777,0.199999657,0.199999039,3.899988443,11.69994315,44.68999924,134.0697435,16.35892128,67.00316209,1272.270824,5642.256376,116.6729196,517.4220804,1388.943744,6159.678456,1622.289583,7194.522617,12.08996417,36.26982375,4.555193876,19613.41491,39226.82983,2544.541649,233.3458392,2777.887488,15979.95
19,AM-Shoulder,1,OP,AM,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.279503106,3.246,0.715,6167.3,952.3,7119.6,370.038,9024.2,5333.48104,876.116,6550.032,0.113378634,0.109645028,1.949997828,5.836620358,62.8558932,188.1366126,42.52314879,69.84403481,604.702796,5192.559204,96.06176304,856.238237,700.7645591,6048.797441,892.8880852,7761.273915,6.044993267,18.09352311,2.482781354,5393.52006,5393.52006,604.702796,96.06176304,700.7645591,7119.6
20,MD,5,OP,MD,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.279503106,3.249,0.708,6316.9,622.7,6939.6,379.014,8185,5462.85512,572.884,6384.432,0.109376139,0.110376824,1.526551086,4.480578644,63.09813602,185.1992791,50.03799158,69.90200401,597.5059985,5340.380001,63.2331164,559.4668836,660.7391149,5899.846885,787.2053478,7018.780652,4.732308368,13.8897938,1.809253236,3705.877585,18529.38792,2987.529993,316.165582,3303.695575,34698
21,PM-Shoulder,1,OP,PM,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.279503106,3.399,0.592,6994.9,447.5,7442.4,419.694,8337.4,6049.18952,411.7,6847.008,0.121441722,0.121955867,1.522255297,4.492257157,60.85974173,179.6003672,49.60684859,69.80429033,734.623995,5840.582005,50.20923062,397.2907694,784.8332256,6237.872774,885.2516868,7032.454313,4.71899142,13.92599719,1.712259368,4165.897934,4165.897934,734.623995,50.20923062,784.8332256,7442.4
22,PM-Peak,3,Peak,PM,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.279503106,3.399,0.592,6657.84,436.485,7094.325,399.4704,7967.295,5757.700032,401.5662,6526.779,0.117619802,0.118316649,1.932831476,5.680147911,61.82653285,181.6939841,52.3381831,69.8700529,677.2195374,5581.150063,47.51196706,388.9730329,724.7315044,5970.123096,819.7554386,6748.069161,5.991777576,17.60845852,2.178498146,4894.361339,14683.08402,2031.658612,142.5359012,2174.194513,21282.975
23,PM-Late,3,OP,NT,2,NB,2NB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.279503106,3.402,0.708,3418.7,270,3688.7,205.122,4228.7,2956.49176,248.4,3393.604,0.137392435,0.137612966,0.780450253,2.32898103,65.44398008,195.2946872,64.69069656,69.99472854,406.1996025,2807.378398,34.18306068,235.8169393,440.3826632,3043.195337,508.7487845,3514.829215,2.419395786,7.219841193,0.900649176,1229.553876,3688.661628,1218.598807,102.549182,1321.14799,11066.1
24,Night,8,OP,NT,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.279503106,3.402,0.708,1921.3,325.7,2247,115.278,2898.4,1661.54024,299.644,2067.24,0.139541192,0.139593439,0.531820962,1.593420916,64.7533206,194.0113362,64.96822271,69.9995688,231.8533055,1574.168695,41.82833642,283.8716636,273.6816419,1858.040358,357.3383148,2425.783685,1.648644981,4.93960484,0.694071377,588.8592415,4710.873932,1854.826444,334.6266914,2189.453135,17976
25,AM-Early,1,OP,AM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.279503106,3.246,0.715,5215.8,442.6,5658.4,312.948,6543.6,4510.62384,407.192,5205.728,0.118820597,0.119339724,1.047827647,3.105830129,60.57191033,179.53913,60.53794881,69.96186938,535.9550173,4366.896983,48.59418091,394.0058191,584.5491983,4760.902802,681.7375601,5548.91444,3.248265704,9.628073401,1.218911527,2208.792643,2208.792643,535.9550173,48.59418091,584.5491983,5658.4
26,AM-Peak,2,Peak,AM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.279503106,3.246,0.715,6292.65,541.17,6833.82,377.559,7916.16,5441.88372,497.8764,6287.1144,0.114577828,0.108643728,1.949998679,5.849633299,62.56465774,187.6823349,52.45622577,69.90259111,623.5192193,5291.571781,54.09114812,487.0788519,677.6103674,5778.650633,785.7926636,6752.808336,6.044995906,18.13386323,2.261292195,4750.052609,9500.105219,1247.038439,108.1822962,1355.220735,13667.64
27,AM-Shoulder,1,OP,AM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.279503106,3.246,0.715,5279,815.1,6094.1,316.74,7724.3,4565.2792,749.892,5606.572,0.115103773,0.115671376,1.386685221,4.108839217,61.70882248,182.8472864,53.98844823,69.93096159,525.4808591,4436.779141,86.7410392,728.3589608,612.2218983,5165.138102,785.7039767,6621.856023,4.298724185,12.73740157,1.772366405,3363.752727,3363.752727,525.4808591,86.7410392,612.2218983,6094.1
28,MD,5,OP,MD,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.279503106,3.249,0.708,7044.4,681.3,7725.7,422.664,9088.3,6091.99712,626.796,7107.644,0.109820355,0.106733672,1.949999921,5.770960006,63.64386933,188.3519177,41.61288275,69.81835428,669.025284,5952.710716,66.90023852,614.3997615,735.9255226,6567.110477,869.7259996,7795.91,6.044999754,17.88997602,2.29734912,5241.10134,26205.5067,3345.12642,334.5011926,3679.627613,38628.5
29,PM-Shoulder,1,OP,PM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.279503106,3.399,0.592,8064.7,516,8580.7,483.882,9612.7,6974.35256,474.72,7894.244,0.131989595,0.125438941,1.949999994,5.849999936,59.33679769,178.0103917,38.52291312,69.37575194,920.5419692,6660.276031,59.54837392,456.4516261,980.0903431,7116.727657,1099.187091,8029.630909,6.044999981,18.1349998,2.186956369,6644.585935,6644.585935,920.5419692,59.54837392,980.0903431,8580.7
30,PM-Peak,3,Peak,PM,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.279503106,3.399,0.592,7635.6,509.145,8144.745,458.136,9163.035,6603.26688,468.4134,7493.1654,0.145446919,0.140023556,1.949999996,5.849999735,56.94609309,170.8382718,44.12449013,69.29287057,960.4248251,6217.039175,65.58891008,443.5560899,1026.013735,6660.595265,1157.191555,7547.707445,6.044999989,18.13499918,2.199311213,6995.222888,20985.66866,2881.274475,196.7667302,3078.041206,24434.235
31,PM-Late,3,OP,NT,2,SB,2SB,3.1,65,9000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.279503106,3.402,0.708,5578.4,440.6,6019,334.704,6900.2,4824.20032,405.352,5537.48,0.120152626,0.120898419,1.336475952,3.942921116,70.21222126,207.1427095,59.06504055,69.94358356,579.6403376,4664.055662,49.00641581,391.5935842,628.6467534,5055.649247,726.659585,5838.836415,4.14307545,12.22305546,1.539662455,3000.501791,9001.505372,1738.921013,147.0192474,1885.94026,18057
32,Night,8,OP,NT,3,NB,3NB,3.7,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.317398119,3.402,0.708,1939.6,359.3,2298.9,116.376,3017.5,1604.43712,316.184,2023.032,0.151249007,0.151311977,0.588063097,1.761547096,62.4859567,187.1771179,64.92066153,69.99937831,242.6695207,1580.554479,47.84242601,311.457574,290.5119467,1892.012053,386.1967987,2514.927201,2.175833457,6.517724255,0.781316152,839.8322025,6718.65762,1941.356165,382.7394081,2324.095573,18391.2
33,AM-Early,1,OP,AM,3,NB,3NB,3.7,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.317398119,3.246,0.715,8489.2,720.3,9209.5,509.352,10650.1,7022.26624,633.864,8104.36,0.15156548,0.134737377,3.899999981,11.69999908,57.67297953,173.0189258,19.07512882,68.52900019,1064.333156,6915.514844,85.40517267,634.8948273,1149.738328,7550.409672,1320.548674,8820.199326,14.42999993,43.2899966,4.479401618,19055.51699,19055.51699,1064.333156,85.40517267,1149.738328,9209.5
34,AM-Peak,2,Peak,AM,3,NB,3NB,3.7,65,7200,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.340909091,3.246,0.715,8187.585,705.81,8893.395,491.2551,10305.015,6772.770312,621.1128,7826.1876,0.199999996,0.188938063,3.899999981,11.6999998,48.87851621,146.6355468,17.42583058,65.71086054,1354.554035,6341.775865,117.3518495,588.4581505,1471.905884,6930.234016,1706.609583,8107.150317,14.42999993,43.28999925,4.521876974,24626.3761,49252.75221,2709.108069,234.703699,2943.811768,17786.79
35,AM-Shoulder,1,OP,AM,3,NB,3NB,3.7,65,8800,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.296920821,3.246,0.715,6864.4,1060.1,7924.5,411.864,10044.7,5678.23168,932.888,6973.56,0.157697734,0.153198696,1.949999868,5.849999055,54.00918767,162.0275478,34.02479994,68.94683862,895.4442673,5557.091733,142.9172248,917.1827752,1038.361492,6474.274508,1324.195942,8308.640058,7.214999511,21.6449965,2.486785048,9554.072782,9554.072782,895.4442673,142.9172248,1038.361492,7924.5
36,MD,5,OP,MD,3,NB,3NB,3.7,65,8800,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.296920821,3.249,0.708,7031.7,693.1,7724.8,421.902,9111,5816.62224,609.928,6797.824,0.122026711,0.114606238,1.949999422,5.849980592,61.05653708,183.1690579,39.89518525,69.77209548,709.783279,5900.014721,69.90155341,623.1984466,779.6848324,6523.213168,919.4879392,7769.610061,7.214997861,21.64492819,2.29964678,6634.098943,33170.49472,3548.916395,349.507767,3898.424162,38624
37,PM-Shoulder,1,OP,PM,3,NB,3NB,3.7,65,9200,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.287642045,3.399,0.592,7786.5,498.2,8284.7,467.19,9281.1,6440.9928,438.416,7290.536,0.120367525,0.121528486,1.900332035,5.534627122,61.87557891,180.2096954,42.26757233,69.70017717,775.2863617,6544.023638,53.2800328,444.9199672,828.5663945,6988.943606,935.12646,7878.78354,7.03122853,20.47812035,2.134031305,6542.290509,6542.290509,775.2863617,53.2800328,828.5663945,8284.7
38,PM-Peak,3,Peak,PM,3,NB,3NB,3.7,65,9200,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.287642045,3.399,0.592,7411.32,485.835,7897.155,444.6792,8868.825,6130.643904,427.5348,6949.4964,0.13676797,0.129686882,1.949999822,5.849994392,58.64975561,175.9491142,47.29313467,69.63122367,838.4757188,6128.165081,55.44565534,430.3893447,893.9213742,6558.554426,1004.812685,7419.333115,7.214999341,21.64497925,2.19189778,7249.721818,21749.16545,2515.427157,166.336966,2681.764123,23691.465
39,PM-Late,3,OP,NT,3,NB,3NB,3.7,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.317398119,3.402,0.708,3806.1,300.5,4106.6,228.366,4707.6,3148.40592,264.44,3613.808,0.14557588,0.145944859,0.9332895,2.776574795,63.99091639,190.3756183,63.83609457,69.98935552,458.3319613,3119.402039,38.59365847,261.9063415,496.9256197,3381.30838,574.1129367,3905.121063,3.453171149,10.27332674,1.076447993,1979.183969,5937.551907,1374.995884,115.7809754,1490.776859,12319.8
40,Night,8,OP,NT,3,SB,3SB,3.7,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.317398119,3.402,0.708,1967.7,333.5,2301.2,118.062,2968.2,1627.68144,293.48,2025.056,0.151515801,0.151585236,0.579093292,1.734408206,62.435375,186.9965138,64.92823684,69.99940779,246.6194578,1603.018542,44.4872351,289.0127649,291.1066929,1892.031307,380.0811631,2470.056837,2.14264518,6.417310363,0.755649748,813.9063874,6511.251099,1972.955663,355.8978808,2328.853543,18409.6
41,AM-Early,1,OP,AM,3,SB,3SB,3.7,65,8800,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.296920821,3.246,0.715,5340.9,453.1,5794,320.454,6700.2,4417.99248,398.728,5098.72,0.12366884,0.124379182,1.10624698,3.267472835,59.76433972,176.5232901,59.22523851,69.95681488,546.3680044,4474.077996,49.59346242,403.5065376,595.9614669,4877.584533,695.1483917,5684.597608,4.093113825,12.08964949,1.286095308,2835.91401,2835.91401,546.3680044,49.59346242,595.9614669,5794
42,AM-Peak,2,Peak,AM,3,SB,3SB,3.7,65,9600,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.27892562,3.246,0.715,6443.22,554.085,6997.305,386.5932,8105.475,5329.831584,487.5948,6157.6284,0.107204395,0.10927402,1.949992022,5.618901359,65.06912299,187.4966561,54.19303932,69.92401968,571.3813727,5485.245427,53.28144385,500.8035561,624.6628166,5986.048983,731.2257043,6987.656096,7.21497048,20.78993503,2.262936512,5230.217493,10460.43499,1142.762745,106.5628877,1249.325633,13994.61
43,AM-Shoulder,1,OP,AM,3,SB,3SB,3.7,65,9600,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.27892562,3.246,0.715,5405.5,834.6,6240.1,324.33,7909.3,4471.4296,734.448,5491.288,0.11580401,0.116479421,1.291131991,3.818402249,61.71331923,182.5113765,55.84668058,69.93245964,517.8094781,4563.360522,85.54807767,749.0519223,603.3575557,5312.412444,774.4537111,6810.516289,4.777188367,14.12808832,1.649465305,3682.304212,3682.304212,517.8094781,85.54807767,603.3575557,6240.1
44,MD,5,OP,MD,3,SB,3SB,3.7,65,8800,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.296920821,3.249,0.708,7213,697.6,7910.6,432.78,9305.8,5966.5936,613.888,6961.328,0.128276708,0.120924534,1.949999852,5.849999384,59.63841073,178.915227,38.50016367,69.67739678,765.3749834,6014.845017,74.23412036,623.3658796,839.6091038,6638.210896,988.0773445,7884.942656,7.214999451,21.64499772,2.294818689,7128.977451,35644.88726,3826.874917,371.1706018,4198.045519,39553
45,PM-Shoulder,1,OP,PM,3,SB,3SB,3.7,65,8800,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.296920821,3.399,0.592,8257.3,528.3,8785.6,495.438,9842.2,6830.43856,464.904,7731.328,0.153099424,0.145731468,1.949999678,5.849998494,56.15188531,168.4556404,35.56961048,68.88297749,1045.73621,6716.12579,67.75114243,460.5488576,1113.487353,7176.674647,1248.989638,8097.772362,7.214998809,21.64499443,2.187298624,9011.458613,9011.458613,1045.73621,67.75114243,1113.487353,8785.6
46,PM-Peak,3,Peak,PM,3,SB,3SB,3.7,65,7200,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.340909091,3.399,0.592,7818.615,521.325,8339.94,469.1169,9382.59,6467.558328,458.766,7339.1472,0.16542493,0.151226764,3.899999977,11.69999946,55.61755248,166.8526507,22.15823318,68.86737791,1069.895386,6279.602714,69.37769768,451.9473023,1139.273083,6731.550017,1278.028479,7635.444621,14.42999992,43.28999801,4.374992333,18441.95072,55325.85216,3209.686157,208.133093,3417.81925,25019.82
47,PM-Late,3,OP,NT,3,SB,3SB,3.7,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.317398119,3.402,0.708,5711.9,451.2,6163.1,342.714,7065.5,4724.88368,397.056,5423.528,0.12783868,0.129150347,1.673378036,4.890752079,69.02663059,201.7428995,52.77812068,69.92980761,604.0228932,4765.163107,51.27992011,399.9200799,655.3028133,5165.083187,757.8626535,5964.923346,6.191498734,18.09578269,1.925149706,4667.757269,14003.27181,1812.06868,153.8397603,1965.90844,18489.3
48,Night,8,OP,NT,4,NB,4NB,3.3,65,8000,1,6,70,3600,1,6,2032,0.5,0,3.9,1.95,0.2,0.317398119,3.402,0.708,1997.2,370,2367.2,119.832,3107.2,1652.08384,325.6,2083.136,0.150311446,0.150370492,0.602640634,1.805370421,62.65298375,187.6936888,64.90489738,69.99928003,248.3271103,1629.04089,48.96063226,321.0393677,297.2877426,1950.080257,395.2090071,2592.158993,1.988714093,5.95772239,0.800719473,785.5454791,6284.363833,1986.616883,391.6850581,2378.301941,18937.6
